log_row,log_esb
1545,[2.74]
2581,"[5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952]"
1158,"[5.06, 5.06, 5.06, 5.06, 5.06, 5.232, 5.06, 5.232, 5.06, 5.06]"
3175,"[1.226, 1.144, 1.226, 1.144, 1.14]"
2017,"[1.413, 1.413, 1.413, 1.264]"
132,[6.582]
2704,[6.513]
3135,"[2.708, 2.708, 2.708, 2.345, 2.708, 2.708, 2.708, 2.708, 1.91]"
1047,[1.256]
2058,"[6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578]"
221,"[7.13, 7.13, 7.13, 7.13, 7.13, 7.13, 7.13, 7.051, 6.589]"
216,"[12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106]"
1691,"[0.699, 0.699, 0.655, 0.699, 0.699, 0.699, 0.699, 0.699, 0.699, 0.699]"
2318,"[0.596, 0.596, 0.521]"
4975,"[3.187, 3.187, 3.187, 3.187, 2.462]"
2955,[0.386]
1145,"[0.796, 0.796, 0.796, 0.681, 0.796, 0.796, 0.796, 0.796, 0.796, 0.796]"
4698,[6.196]
4667,"[1.576, 1.576, 1.576, 1.162]"
274,"[1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995]"
1472,"[3.521, 3.521, 3.521, 3.521, 3.521, 4.304, 3.348]"
623,"[4.433, 4.433, 3.328]"
4764,"[2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403]"
4808,"[6.319, 6.506, 6.506, 6.506, 6.319, 6.319, 6.506, 6.506, 6.506, 6.506]"
289,[2.414]
3206,[3.165]
2402,"[6.702, 6.702, 6.702, 6.702, 6.702, 6.37]"
655,"[4.429, 4.429, 3.584]"
4302,"[3.928, 2.462, 3.928, 3.928, 3.928, 3.928, 3.928, 3.928, 3.928, 2.462]"
3288,[2.61]
2593,"[12.143, 12.143, 12.143, 12.143, 10.467, 12.143, 12.143, 12.143, 12.143, 12.143]"
1864,"[1.52, 0.862, 0.862, 1.52, 1.52, 1.52, 0.862, 1.52, 1.52, 1.52]"
446,"[5.495, 3.465]"
2757,[3.288]
516,"[5.889, 5.889, 5.889, 5.889, 5.889, 5.889, 5.889, 5.889, 4.559]"
4850,"[5.264, 5.264, 5.264, 5.264, 5.264, 5.264, 5.048, 5.264, 5.264, 5.264]"
3758,"[3.154, 3.606, 2.688]"
1656,"[1.944, 1.944, 1.944, 1.944, 1.944, 1.944, 1.944, 1.944, 1.944, 2.521]"
2946,"[5.411, 5.411, 5.411, 5.411, 5.177, 5.411, 4.964]"
4894,[6.742]
632,"[4.429, 4.429, 2.36, 4.429, 4.429, 4.429, 4.429, 2.349]"
1234,[6.368]
1034,[2.304]
1231,"[0.615, 0.615, 0.615, 0.615, 0.615, 0.615, 0.519, 0.615, 0.615, 0.615]"
4514,"[7.213, 7.213, 7.213, 7.213, 7.213, 7.213, 7.213, 8.197, 7.213, 7.213]"
2435,[0.51]
3303,"[1.429, 1.429, 1.425, 1.429, 1.356]"
1925,[1.176]
2004,[6.677]
1416,"[1.699, 1.699, 1.579]"
431,"[4.784, 4.784, 4.784, 4.784, 4.784, 4.784, 4.784, 4.784, 3.645]"
4986,[2.428]
136,[6.263]
1406,"[1.139, 1.139, 1.211, 1.139, 1.139, 1.139, 1.139, 1.097]"
4313,[7.338]
3876,"[1.458, 1.373]"
2294,"[1.002, 1.067, 1.067, 1.067, 1.067, 1.067, 1.067, 1.067, 1.067, 1.067]"
1074,"[9.577, 6.414]"
1961,"[1.499, 1.499, 1.499, 1.499, 1.499, 1.459]"
3076,[1.108]
3085,"[1.597, 1.597, 1.597, 1.597, 1.597, 0.625]"
702,"[1.56, 1.929, 1.929, 1.929, 1.929, 1.929, 1.929, 1.929, 1.929, 1.929]"
2663,"[1.553, 1.553, 1.553, 1.553, 1.553, 1.509, 1.553, 1.553, 1.553, 1.553]"
3210,[2.025]
