log_row,log_esb
1182,[4.977]
721,"[0.409, 0.39]"
4718,"[2.309, 2.309, 2.309, 2.309, 2.206]"
2399,[0.555]
715,"[5.873, 5.873, 5.873, 5.873, 5.873, 5.873, 5.873, 5.873, 5.873, 5.873]"
4527,"[2.044, 1.914]"
3018,[0.543]
4333,"[2.413, 2.413, 2.413, 2.413, 2.413, 2.413, 2.413, 2.338, 2.413, 2.413]"
900,"[2.602, 2.602, 2.602, 2.602, 1.883]"
287,[4.554]
2056,[4.992]
457,[6.345]
708,[5.217]
3615,"[0.458, 0.405]"
4285,"[0.997, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285]"
3939,"[1.992, 2.537, 2.537, 2.537, 2.537, 2.537, 2.537, 2.537, 2.537, 2.537]"
3206,"[5.399, 5.399, 5.399, 3.24, 5.399, 5.399, 5.399, 5.399, 5.399, 5.399]"
3047,"[2.838, 2.838, 2.838, 2.838, 2.838, 2.838, 2.838, 2.838, 2.838, 2.838]"
177,"[1.071, 1.071, 1.071, 1.071, 1.071, 1.071, 1.071, 0.972]"
1897,"[1.868, 1.868, 1.868, 1.868, 1.604]"
3688,[4.834]
288,[1.708]
1125,"[3.637, 3.637, 3.637, 3.637, 3.637, 3.637, 3.637, 2.783]"
2822,"[4.375, 4.375, 4.375, 4.375, 4.375, 4.375, 4.375, 4.375, 4.375, 4.375]"
3908,[0.519]
3929,[3.616]
1399,[0.9]
4576,"[6.744, 6.744, 6.744, 6.744, 6.744, 6.744, 6.744, 6.744, 6.744, 6.744]"
759,"[3.159, 3.159, 3.159, 3.159, 3.159, 3.159, 3.159, 3.159, 3.159, 3.159]"
954,"[2.408, 2.408, 2.408, 2.408, 2.295]"
4187,"[6.852, 6.852, 6.852, 6.852, 6.852, 6.852, 4.295, 6.852, 6.852, 4.295]"
2577,[0.623]
310,"[1.545, 1.469]"
2527,"[1.355, 1.355, 1.355, 1.402, 1.355, 1.355, 1.355, 1.355, 1.355, 1.355]"
2634,"[0.802, 0.572]"
4881,[0.419]
1758,[1.875]
3587,"[1.304, 1.304, 1.304, 1.304, 1.304, 1.304, 1.304, 1.304, 1.304, 1.304]"
3906,"[4.007, 4.007, 4.007, 4.007, 4.007, 4.007, 4.327, 4.007, 4.007, 4.007]"
1183,"[6.163, 6.163, 6.163, 6.163, 5.245]"
2479,"[1.593, 1.593, 1.593, 1.593, 1.611, 1.593, 1.593, 1.593, 1.593, 1.593]"
3275,[1.702]
3439,"[1.525, 1.154]"
420,[0.872]
3011,"[6.751, 6.751, 5.537]"
3644,"[3.672, 4.077, 3.672, 3.672, 3.672, 3.672, 3.672, 3.672, 3.672, 3.672]"
1925,"[1.213, 1.213, 1.213, 1.213, 1.213, 1.213, 1.213, 1.213, 1.213, 1.213]"
4770,"[0.361, 0.378, 0.378, 0.378, 0.357, 0.378, 0.378, 0.378, 0.378, 0.378]"
4105,"[4.728, 4.728, 3.272, 4.728, 4.728, 4.728, 4.728, 4.728, 4.728, 4.728]"
498,"[1.072, 1.072, 1.072, 1.069]"
3285,"[1.368, 1.088]"
133,[0.623]
2759,[0.867]
2765,"[1.146, 1.146, 1.146, 1.146, 1.146, 1.146, 1.013, 1.146, 1.146, 1.146]"
4713,"[4.989, 4.989, 4.989, 4.989, 4.67]"
3650,[5.626]
3512,"[2.036, 2.036, 2.036, 2.036, 2.036, 2.036, 2.036, 2.036, 2.036, 2.036]"
4186,[0.809]
3668,"[2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07]"
4501,"[2.721, 2.721, 1.72, 2.721, 2.721, 2.721, 2.721, 2.721, 1.809, 2.721]"
2882,[0.768]
2056,[4.992]
2574,[6.654]
2446,[1.233]
4367,"[2.135, 2.135, 2.132, 2.135, 2.135, 2.135, 2.135, 2.135, 2.135, 2.135]"
1672,[5.753]
2101,[6.329]
1201,"[0.659, 0.659, 0.659, 0.659, 0.659, 0.659, 0.659, 0.659, 0.659, 0.659]"
2394,"[3.147, 3.147, 3.147, 3.147, 3.147, 3.147, 3.147, 3.147, 3.147, 3.147]"
2015,"[7.12, 5.981]"
3875,"[0.413, 0.413, 0.413, 0.413, 0.413, 0.413, 0.413, 0.413, 0.413, 0.413]"
1313,[0.643]
2707,"[1.509, 1.509, 1.509, 1.509, 1.509, 1.509, 1.509, 1.485, 1.509, 1.509]"
2663,[1.497]
1080,"[3.506, 3.506, 3.506, 3.506, 3.506, 3.506, 4.206, 3.506, 4.206, 3.506]"
438,"[1.865, 1.865, 1.865, 1.865, 1.865, 1.607]"
1843,"[2.319, 2.284]"
659,[1.483]
4127,"[0.934, 0.934, 0.934, 0.934, 0.934, 0.934, 0.934, 0.895, 0.934, 0.934]"
1286,"[0.531, 0.531, 0.531, 0.531, 0.531, 0.531, 0.313]"
2772,"[1.535, 1.535, 1.535, 1.535, 1.535, 1.535, 1.535, 1.535, 1.535, 1.535]"
741,[6.647]
2495,"[2.534, 2.534, 2.534, 2.534, 2.534, 2.534, 2.534, 2.534, 2.087, 2.534]"
478,[6.643]
1548,"[2.938, 3.207, 3.207, 3.207, 3.207, 2.809]"
1987,[1.097]
2919,"[1.519, 1.519, 1.519, 1.519, 1.519, 1.519, 1.519, 1.519, 1.519, 1.519]"
4877,"[3.07, 3.07, 3.07, 3.07, 1.879, 3.07, 3.07, 3.07, 3.07, 1.757]"
4877,"[3.07, 3.07, 3.07, 3.07, 1.879, 3.07, 3.07, 3.07, 3.07, 1.757]"
2835,[4.532]
18,"[3.758, 3.758, 3.758, 3.758, 3.758, 3.758, 3.758, 3.758, 3.758, 3.758]"
531,[6.131]
2104,"[3.195, 3.195, 3.195, 3.195, 2.498]"
4357,"[6.252, 6.865, 6.865, 6.865, 6.865, 6.865, 6.865, 6.865, 6.252, 6.865]"
979,"[5.621, 5.621, 5.621, 5.621, 5.621, 3.977, 5.621, 3.903, 5.621, 5.621]"
3675,"[3.089, 3.089, 3.089, 2.528, 3.089, 3.089, 3.089, 3.089, 3.089, 3.089]"
1946,"[0.499, 0.619, 0.619, 0.499, 0.619, 0.619, 0.619, 0.619, 0.619, 0.499]"
2546,"[0.975, 1.078, 1.078, 0.975, 1.027, 1.078, 0.975, 1.078, 1.078, 1.078]"
1788,"[2.423, 2.423, 2.423, 1.683, 1.593]"
1362,[0.855]
3987,[1.139]
3232,"[1.601, 1.454, 1.454, 1.454, 1.454, 1.454, 1.454, 1.317]"
2212,[1.46]
372,"[4.444, 4.444, 4.444, 2.723]"
475,"[1.704, 1.704, 1.704, 1.704, 1.704, 1.704, 1.704, 1.704, 1.704, 1.704]"
2847,[2.283]
4396,"[6.073, 6.073, 6.073, 6.073, 4.52, 6.073, 6.073, 6.073, 4.52, 6.073]"
986,[1.577]
631,[1.151]
3111,"[1.287, 1.287, 1.287, 1.287, 1.287, 1.287, 1.287, 1.287, 1.287, 1.287]"
3440,"[1.989, 1.989, 1.989, 1.989, 1.989, 1.989, 1.989, 1.989, 1.989, 1.989]"
590,"[2.563, 2.563, 2.563, 2.371]"
782,[0.745]
2244,"[1.819, 2.034, 2.034, 2.034, 1.819, 1.819, 2.034, 1.733]"
3508,"[3.576, 3.576, 3.576, 3.576, 3.576, 3.576, 3.576, 2.741]"
2220,[4.221]
3640,[0.844]
3185,"[0.966, 0.966, 0.966, 0.966, 0.966, 0.966, 1.001, 0.966, 0.966, 0.966]"
3102,[4.66]
3271,"[3.929, 4.598, 4.598, 4.598, 4.598, 4.598, 4.598, 4.598, 3.837]"
3131,[1.836]
3369,[6.69]
3772,"[3.325, 2.715]"
4042,[0.914]
3976,"[1.108, 1.108, 1.108, 1.108, 1.108, 1.108, 1.108, 1.108, 1.108, 1.108]"
539,[3.419]
2696,"[0.894, 0.85]"
2420,"[1.731, 1.731, 1.731, 1.731, 1.731, 1.731, 1.731, 1.309]"
3060,[0.91]
