log_row,log_esb
2324,"[1.368, 1.368, 1.368, 1.481, 1.368, 1.368, 1.279]"
4838,"[8.111, 8.111, 8.111, 8.111, 8.111, 8.111, 8.111, 8.111, 8.111, 8.111]"
3761,[0.512]
4426,"[7.493, 7.493, 7.493, 7.493, 7.493, 7.493, 7.493, 7.493, 7.493, 7.493]"
692,[1.768]
2590,"[2.436, 2.832, 2.832, 3.246, 2.832, 2.832, 2.832, 2.832, 2.189]"
1843,"[2.319, 2.319, 2.319, 2.319, 2.319, 2.319, 2.319, 2.319, 2.319, 2.319]"
36,[4.781]
2708,[5.89]
681,[1.094]
4915,"[1.361, 1.361, 1.361, 1.361, 1.361, 1.039]"
4915,"[1.361, 1.361, 1.361, 1.361, 1.039]"
4721,"[1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66]"
4041,"[2.36, 2.299]"
132,"[8.254, 8.254, 8.254, 8.254, 6.582]"
3462,[1.557]
4016,"[1.027, 1.027, 1.027, 1.027, 1.027, 1.027, 1.027, 1.027, 1.027, 1.027]"
2528,"[1.112, 1.112, 1.112, 1.112, 1.112, 1.112, 0.655]"
2161,"[2.503, 2.503, 2.503, 2.503, 2.503, 2.503, 2.497]"
2884,"[0.931, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
2883,"[8.092, 8.092, 12.102, 8.092, 8.092, 8.092, 8.092, 8.092, 8.092, 8.092]"
2896,"[3.026, 3.026, 3.026, 3.026, 3.026, 3.026, 3.026, 3.026, 3.026, 3.026]"
1318,[1.622]
4568,"[0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802]"
4291,"[0.98, 0.98, 0.98, 0.98, 0.98, 0.809]"
3798,"[1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48]"
2903,[3.376]
4535,[3.214]
2575,"[0.386, 0.386, 0.386, 0.386, 0.386, 0.386, 0.368]"
3890,"[0.869, 0.869, 0.869, 0.869, 0.869, 0.869, 0.869, 0.869, 0.856]"
1821,[2.567]
2923,[6.276]
1455,[3.165]
715,[5.011]
2820,"[2.201, 2.145]"
602,[1.298]
1144,"[1.115, 1.115, 1.115, 1.115, 1.038]"
87,"[2.471, 2.663, 2.471, 2.471, 2.471, 2.471, 2.471, 2.471, 2.471, 2.471]"
4367,[2.017]
3110,"[5.728, 4.611]"
211,"[1.716, 1.765, 1.765, 1.657]"
51,"[5.934, 5.934, 5.934, 5.934, 5.934, 5.934, 5.934, 5.934, 5.934, 5.934]"
1712,[5.129]
697,"[1.085, 1.085, 1.085, 1.085, 0.866]"
4009,"[0.942, 0.84]"
3883,"[2.562, 1.873]"
572,[4.894]
703,"[3.293, 3.293, 3.293, 3.293, 3.293, 3.293, 3.293, 3.293, 2.33, 3.293]"
2447,"[1.239, 1.239, 1.239, 1.239, 1.239, 1.239, 1.239, 1.239, 1.239, 1.239]"
346,"[6.953, 6.953, 6.953, 6.953, 5.375, 6.953, 6.953, 6.953, 5.375, 5.375]"
1044,[0.678]
