log_row,log_esb
2341,[6.254]
3114,"[2.285, 2.285, 2.285, 2.285, 2.285, 2.285, 2.285, 2.285, 2.285, 2.285]"
1793,"[0.743, 0.743, 0.743, 0.743, 0.743, 0.743, 0.743, 0.719]"
1786,[2.58]
2888,"[3.225, 3.225, 3.225, 3.225, 1.89]"
4990,"[1.135, 1.135, 0.94, 1.135, 1.135, 1.135, 1.135, 1.135, 1.135, 0.94]"
120,"[2.874, 2.804]"
1859,"[1.31, 1.113]"
489,"[8.286, 8.286, 8.286, 8.286, 8.286, 8.286, 8.286, 8.286, 9.106, 8.286]"
2092,[6.431]
3793,"[1.256, 1.256, 1.256, 1.256, 1.358, 1.256, 1.256, 1.256, 1.256, 1.256]"
4084,"[0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292]"
1609,"[9.724, 9.724, 9.724, 9.724, 9.724, 9.724, 9.724, 9.724, 10.168, 9.724]"
2701,"[0.844, 0.844, 0.844, 0.844, 0.797]"
2813,"[1.407, 1.407, 1.407, 1.407, 1.133]"
3851,"[4.482, 5.364, 4.482, 4.482, 4.482, 4.482, 4.47]"
3267,[6.597]
4844,[1.093]
1066,"[0.495, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46]"
1214,"[3.646, 3.646, 3.646, 3.646, 3.646, 5.883, 3.646, 3.646, 3.3, 3.646]"
1307,"[1.401, 1.401, 1.401, 1.401, 1.401, 1.401, 1.401, 1.401, 1.379]"
4188,"[9.492, 9.492, 9.492, 9.492, 9.492, 9.492, 9.492, 9.492, 9.492, 9.567]"
300,"[2.097, 2.097, 2.097, 2.097, 2.097, 2.097, 2.097, 2.097, 1.73]"
4466,[0.626]
4263,"[1.401, 1.401, 1.401, 1.401, 1.401, 1.401, 1.401, 1.401, 1.401, 1.401]"
2143,"[0.856, 0.856, 0.856, 0.856, 0.856, 0.82, 0.856, 0.856, 0.856, 0.82]"
4615,"[2.752, 2.607]"
3773,"[1.081, 1.081, 1.081, 1.081, 1.081, 1.081, 0.995]"
395,"[1.935, 1.935, 1.935, 1.935, 1.935, 1.935, 2.583, 1.935, 1.935, 1.935]"
3477,"[8.343, 8.343, 6.51]"
3048,"[0.758, 0.758, 0.758, 0.758, 0.758, 0.758, 0.758, 0.758, 0.758, 0.758]"
4939,"[1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.175]"
1185,[4.038]
1680,"[2.834, 2.834, 2.834, 2.834, 2.834, 2.834, 4.678, 2.834, 2.834, 2.578]"
1680,"[2.834, 2.834, 2.834, 2.834, 2.834, 2.834, 4.678, 2.834, 2.834, 2.578]"
3531,"[1.459, 1.459, 1.459, 1.459, 1.459, 1.459, 1.459, 1.459, 1.459, 1.459]"
2357,"[7.983, 7.983, 10.051, 7.983, 7.983, 6.552]"
3025,"[0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 1.398, 0.989, 0.989]"
3989,"[0.933, 0.933, 0.933, 0.933, 0.933, 0.741]"
1694,"[2.127, 2.127, 1.773]"
2509,[0.646]
1691,[0.597]
2488,[0.889]
1919,"[2.971, 2.971, 2.971, 2.971, 2.971, 2.341]"
3707,"[0.761, 0.761, 0.761, 0.761, 0.761, 0.761, 0.761, 0.694]"
920,[0.365]
3833,[1.78]
2349,"[0.377, 0.377, 0.293]"
3427,"[5.434, 5.434, 4.717, 5.434, 5.434, 4.717, 5.434, 5.434, 4.717, 5.434]"
2552,"[2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 1.631, 2.07, 2.07]"
2007,"[1.208, 1.208, 1.007]"
2307,"[4.886, 4.567, 4.886, 4.886, 4.886, 4.886, 4.886, 4.886, 4.886, 3.98]"
2307,"[4.886, 4.567, 4.886, 4.886, 4.886, 4.886, 4.886, 4.886, 4.886, 3.98]"
4183,[1.726]
3870,"[2.405, 2.405, 2.405, 2.405, 2.405, 2.405, 2.405, 2.405, 2.405, 2.405]"
278,"[1.488, 1.488, 1.488, 1.488, 1.488, 1.488, 1.488, 1.488, 1.488, 1.488]"
1318,[1.622]
714,"[1.954, 1.647]"
