log_row,log_esb
3642,"[1.142, 1.142, 1.142, 1.142, 0.869]"
4834,"[0.664, 0.664, 0.664, 0.664, 0.662]"
1941,[6.492]
441,"[2.182, 2.182, 2.52, 2.52, 2.52, 2.52, 2.52, 2.52, 2.52, 2.52]"
1392,"[6.866, 6.866, 6.866, 6.866, 6.866, 6.866, 6.866, 5.633]"
2561,"[1.286, 1.286, 1.286, 1.286, 1.286, 1.187]"
4923,"[8.287, 7.853, 7.853, 6.313]"
4184,[1.42]
4944,"[2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449]"
234,"[0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98]"
700,"[7.643, 7.643, 7.643, 7.643, 7.643, 7.643, 7.643, 7.643, 7.643, 7.643]"
3957,"[5.327, 5.327, 5.327, 5.327, 5.327, 5.327, 5.327, 5.327, 4.387]"
2540,"[7.096, 7.096, 7.096, 7.096, 7.096, 7.096, 7.096, 5.848]"
3420,[1.474]
1228,[0.828]
1450,[2.223]
2926,"[4.215, 4.215, 4.215, 4.215, 4.215, 4.215, 4.215, 4.215, 4.215, 4.215]"
3767,[0.811]
3529,"[0.617, 0.617, 0.617, 0.617, 0.581]"
1094,"[5.493, 5.493, 5.493, 4.5]"
380,"[6.217, 6.217, 6.217, 6.217, 6.217, 6.217, 6.217, 6.217, 5.488]"
999,"[2.016, 2.254, 2.254, 2.254, 2.254, 2.254, 2.007]"
3875,"[0.569, 0.569, 0.569, 0.569, 0.569, 0.569, 0.569, 0.569, 0.413, 0.569]"
2540,"[7.096, 7.096, 5.848]"
4723,"[6.923, 6.923, 6.923, 6.923, 6.923, 6.923, 6.923, 6.923, 6.923, 6.923]"
756,"[4.982, 4.982, 4.982, 4.982, 4.982, 4.982, 4.982, 4.982, 4.982, 4.982]"
3177,"[8.014, 8.014, 8.014, 6.577]"
4075,[0.995]
4015,"[1.049, 0.973, 0.973, 0.919]"
4026,"[4.559, 4.559, 4.559, 4.559, 4.244]"
2956,"[6.11, 5.059, 5.059, 6.11, 6.11, 6.11, 6.11, 6.11, 6.11, 6.11]"
2625,"[4.12, 4.12, 4.031, 4.12, 3.37]"
844,[1.911]
274,"[1.544, 1.544, 1.544, 1.544, 1.544, 1.544, 1.544, 1.544, 1.544, 1.544]"
157,"[4.958, 4.958, 4.958, 4.719]"
3578,"[1.142, 1.142, 1.142, 1.142, 1.142, 1.142, 1.142, 1.142, 1.142, 1.142]"
1441,"[3.466, 3.466, 3.064]"
3807,"[5.995, 5.995, 5.995, 5.995, 5.995, 5.995, 5.036]"
71,[2.23]
4712,"[0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925]"
3169,[0.808]
40,"[5.468, 5.468, 5.468, 5.468, 5.468, 5.468, 5.468, 6.555, 5.468, 5.468]"
1006,[2.452]
1451,"[2.169, 2.169, 2.169, 2.169, 3.326, 2.086]"
4083,"[5.51, 5.51, 5.51, 5.51, 5.51, 5.51, 5.51, 5.51, 5.3]"
840,"[1.458, 1.458, 1.458, 1.458, 1.079]"
779,[0.969]
1233,[6.411]
1900,"[1.717, 1.717, 1.717, 1.717, 1.717, 1.652, 1.717, 1.717, 1.717, 1.717]"
3299,"[0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396]"
