log_row,log_esb
1193,"[1.639, 1.478, 1.639, 1.639, 1.478, 1.639, 1.639, 1.639, 1.639, 1.639]"
2376,[4.649]
4012,[1.418]
516,"[5.889, 5.889, 5.889, 4.901, 4.559]"
1227,[6.36]
4091,[5.864]
1,"[7.59, 6.223]"
781,[6.145]
144,[1.337]
2695,"[6.51, 6.51, 6.51, 6.51, 6.51, 6.51, 6.51, 6.51, 6.51, 6.51]"
4160,"[5.276, 5.276, 4.323]"
2248,[6.604]
3184,"[3.839, 2.93]"
853,"[1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.314]"
2169,[5.611]
1581,[0.94]
2170,"[0.546, 0.479]"
2315,"[4.481, 5.79, 5.79, 5.79, 5.79, 5.79, 5.79, 5.79, 5.79, 5.79]"
2570,"[3.112, 3.112, 3.112, 3.112, 3.112, 3.112, 3.112, 3.112, 2.908, 2.908]"
384,[0.584]
4841,[6.414]
1517,"[7.177, 5.84]"
3683,"[1.16, 1.16, 1.16, 1.16, 1.16, 1.16, 1.16, 1.16, 1.205, 1.16]"
4158,"[2.062, 1.777, 2.062, 2.062, 2.062, 2.062, 2.062, 2.062, 2.062, 2.062]"
3375,[6.421]
4108,"[1.678, 1.678, 1.187]"
3151,[4.586]
2645,"[4.047, 3.26, 3.26, 3.26, 3.26, 3.26, 3.26, 3.26, 3.26, 3.26]"
4709,"[2.98, 2.98, 2.906, 2.98, 2.98, 2.98, 2.98, 2.865, 2.98, 2.98]"
2141,"[2.043, 1.656]"
294,"[2.172, 2.172, 2.172, 2.172, 2.172, 2.172, 2.172, 2.172, 2.172, 2.172]"
2711,"[2.744, 4.032, 4.032, 4.032, 4.032, 4.032, 4.032, 4.032, 4.032, 4.032]"
2761,[5.715]
2497,"[0.472, 0.472, 0.472, 0.472, 0.472, 0.472, 0.472, 0.472, 0.448]"
4911,"[3.676, 3.85, 3.676, 3.676, 3.676, 3.676, 3.676, 3.676, 3.676, 3.676]"
2941,[6.633]
1923,[0.4]
3792,"[6.598, 6.598, 6.598, 6.598, 6.598, 6.598, 6.598, 6.598, 6.598, 6.598]"
4337,"[2.836, 2.836, 2.836, 2.836, 2.836, 2.836, 2.836, 2.836, 2.836, 2.836]"
1526,[6.652]
818,[6.472]
392,"[3.071, 3.071, 3.071, 3.071, 3.071, 3.071, 3.071, 2.179, 3.071, 3.071]"
2844,"[5.285, 5.285, 3.364]"
772,"[6.587, 6.587, 6.587, 6.587, 6.587, 6.587, 5.197, 6.587, 6.587, 6.587]"
1798,"[2.842, 2.842, 2.842, 2.842, 2.842, 2.842, 2.842, 2.842, 2.842, 2.361]"
2907,[1.157]
563,"[6.196, 5.654]"
794,[0.601]
4195,"[0.948, 0.948, 0.948, 0.948, 0.948, 0.948, 0.948, 0.948, 0.948, 0.77]"
1888,"[2.408, 2.408, 2.408, 2.408, 2.408, 2.237]"
3257,[3.188]
1782,[5.985]
2225,"[3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 2.374]"
809,"[6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578]"
3828,"[3.829, 3.383]"
3583,"[4.438, 4.438, 4.438, 4.438, 4.438, 4.438, 4.438, 4.438, 4.438, 4.438]"
2744,"[4.579, 4.579, 3.326, 4.579, 4.579, 4.579, 4.579, 4.579, 4.579, 4.579]"
1854,[6.338]
797,[1.523]
4811,"[1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793]"
1581,[0.94]
3687,"[2.534, 2.534, 2.534, 2.534, 2.534, 2.534, 2.534, 2.534, 2.534, 2.534]"
1483,[0.348]
131,"[4.58, 4.58, 4.58, 4.58, 4.58, 4.58, 4.58, 4.58, 4.58, 4.58]"
3420,"[2.102, 2.102, 2.102, 2.102, 2.102, 1.474]"
2004,[6.677]
1367,"[3.387, 3.55, 3.387, 3.387, 3.387, 3.387, 3.387, 3.387, 3.55, 3.387]"
917,"[0.555, 0.555, 0.555, 0.555, 0.555, 0.555, 0.555, 0.555, 0.555, 0.555]"
1984,"[3.726, 3.726, 3.726, 3.726, 3.726, 3.726, 3.726, 3.726, 3.726, 3.726]"
2882,"[1.044, 1.044, 1.044, 0.82, 1.044, 0.773, 1.044, 1.044, 1.044, 1.044]"
