log_row,log_esb
4364,[6.373]
2413,"[8.507, 8.507, 8.507, 8.507, 8.507, 8.507, 8.507, 6.713]"
1949,[2.393]
2979,"[5.204, 5.204, 4.835]"
4152,"[1.548, 1.455]"
66,[2.635]
2479,[1.37]
1778,"[2.331, 2.256, 2.331, 2.256, 2.256, 2.256, 2.256, 2.331, 2.256, 2.256]"
2460,[2.076]
143,"[2.888, 2.888, 2.888, 2.888, 2.888, 2.888, 2.888, 2.52]"
3612,[6.313]
2657,"[0.85, 0.85, 0.931, 0.931, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
2199,[4.567]
2290,"[0.957, 0.957, 0.957, 0.957, 0.822]"
287,"[4.941, 4.941, 4.554]"
2951,[1.806]
3567,"[7.538, 6.161]"
3638,[1.123]
4771,"[3.288, 4.423, 4.423, 4.423, 4.423, 4.423, 4.423, 4.423, 4.423, 3.288]"
4784,[1.21]
4726,[1.28]
2555,"[2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449, 2.449]"
3024,"[1.248, 1.248, 1.248, 1.248, 1.248, 1.248, 1.248, 1.248, 1.248, 1.248]"
3759,[2.065]
1910,[1.456]
3909,"[1.179, 1.179, 1.179, 1.19, 1.179, 1.19, 1.179, 1.179, 1.179, 1.179]"
2461,[5.574]
1153,"[1.371, 1.371, 1.371, 1.371, 1.371, 1.371, 1.371, 1.371, 1.371, 1.371]"
3160,"[6.229, 6.229, 6.229, 6.229, 6.229, 6.229, 6.229, 6.229, 6.229, 6.229]"
1022,"[0.461, 0.444]"
4656,"[4.026, 4.026, 4.026, 4.026, 4.026, 4.026, 3.847]"
1886,"[6.721, 6.721, 6.721, 6.721, 6.721, 6.721, 6.721, 6.721, 6.721, 6.721]"
4249,"[1.876, 0.992]"
2533,"[3.663, 3.817, 3.663, 3.663, 3.663, 3.663, 3.663, 3.663, 3.663, 2.781]"
2533,"[3.663, 3.817, 3.663, 3.663, 3.663, 3.663, 3.663, 3.663, 3.663, 2.781]"
541,"[6.56, 6.56, 6.56, 6.288]"
387,"[1.013, 1.217, 1.217, 1.013, 1.217, 1.013, 1.217, 1.217, 1.217, 1.217]"
3269,"[8.846, 8.846, 7.027, 8.846, 5.766]"
499,"[2.739, 2.739, 2.739, 2.739, 2.739, 2.739, 2.739, 2.739, 2.235]"
2625,"[3.907, 3.907, 3.907, 3.907, 3.907, 3.907, 3.907, 3.907, 3.907, 3.907]"
3176,"[1.194, 1.037]"
1085,"[1.038, 1.038, 1.038, 1.038, 1.038, 1.038, 0.833]"
2813,"[1.695, 1.695, 1.133]"
1843,"[2.319, 2.319, 2.319, 2.319, 2.319, 2.319, 2.319, 2.319, 2.704, 2.319]"
951,"[6.223, 6.223, 6.223, 6.223, 6.022, 6.223, 6.223, 6.223, 6.223, 6.223]"
1654,[1.181]
1428,"[5.937, 5.937, 5.937, 5.937, 5.937, 5.54]"
2736,"[0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989]"
2579,"[6.049, 6.049, 6.049, 6.049, 6.049, 6.049, 6.049, 6.049, 6.049, 6.049]"
4644,"[2.455, 2.666, 2.666, 2.666, 2.666, 2.666, 2.666, 2.666, 2.666, 2.666]"
4158,"[1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.744]"
4158,"[1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.777, 1.744]"
4676,"[1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357]"
131,"[2.866, 2.866, 2.866, 2.866, 2.866, 2.866, 2.866, 2.866, 2.866, 2.866]"
745,[0.839]
4102,"[2.72, 2.72, 2.72, 2.72, 2.72, 2.72, 2.388, 2.72, 2.72, 2.72]"
3423,[1.315]
567,[0.557]
815,[5.987]
1178,[4.961]
3381,"[5.274, 4.96, 4.96, 4.96, 4.96, 4.96, 4.96, 4.96, 4.96, 5.274]"
3036,"[1.444, 1.096]"
3184,"[3.839, 3.839, 3.839, 2.93]"
4108,[1.187]
1508,[1.454]
941,"[0.733, 0.708]"
2759,[0.867]
3689,"[3.21, 2.971, 2.971, 2.971, 3.21, 3.21, 2.971, 3.21, 3.21, 3.21]"
4203,"[7.026, 7.026, 7.026, 7.026, 7.026, 7.026, 7.026, 7.026, 7.026, 7.026]"
2027,"[1.186, 1.186, 1.186, 1.186, 1.186, 1.186, 1.186, 1.186, 1.186, 1.186]"
4242,[1.474]
2764,"[5.151, 5.151, 5.151, 5.151, 5.151, 4.538, 5.151, 5.151, 4.538, 4.538]"
