log_row,log_esb
352,[2.39]
2274,"[13.373, 8.718, 8.718, 11.588, 8.718, 8.718, 8.718, 8.718, 8.718, 8.718]"
2891,"[8.12, 8.12, 8.12, 8.12, 8.12, 8.12, 8.12, 8.12, 6.653]"
113,[1.45]
3214,[1.73]
3048,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
0,"[7.418, 7.418, 7.418, 7.418, 7.418, 7.418, 7.418, 7.418, 7.418, 7.418]"
540,[3.263]
4363,[1.553]
2412,"[3.429, 3.429, 3.429, 3.429, 3.429, 3.429, 2.927, 3.429, 3.429, 3.429]"
1070,"[7.796, 7.796, 7.796, 7.796, 7.796, 7.796, 7.796, 7.796, 7.796, 7.796]"
4114,"[0.71, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972]"
1591,"[8.071, 8.071, 8.071, 8.071, 8.071, 8.071, 8.071, 8.071, 8.071, 8.071]"
3737,[5.554]
1451,"[2.169, 2.179, 2.169, 2.169, 2.169, 2.169, 2.169, 2.169, 2.169, 2.086]"
1451,"[2.169, 2.179, 2.169, 2.169, 2.169, 2.169, 2.169, 2.169, 2.169, 2.086]"
1281,"[2.003, 2.003, 2.003, 2.003, 1.692]"
4670,"[4.763, 4.763, 4.763, 4.763, 3.9]"
2185,[2.198]
4353,"[1.124, 1.124, 1.056]"
844,"[2.068, 1.911]"
3237,"[4.07, 4.776, 3.913]"
3664,[2.365]
4243,"[0.678, 0.678, 0.678, 0.678, 0.678, 0.678, 0.678, 0.678, 0.678, 0.678]"
1282,"[2.899, 3.081, 3.081, 3.081, 3.081, 2.899, 3.081, 2.899, 2.899, 3.081]"
3634,"[2.045, 2.045, 2.045, 2.045, 2.045, 2.045, 2.045, 2.045, 2.045, 2.045]"
3826,"[2.678, 2.799, 2.799, 2.799, 2.799, 2.799, 2.799, 2.799, 2.799, 2.799]"
3828,"[4.129, 4.129, 4.129, 4.129, 4.129, 3.829, 4.129, 4.129, 3.383]"
4130,[6.532]
2063,"[8.778, 8.778, 8.778, 6.595]"
4034,[5.011]
2292,"[2.456, 2.456, 2.456, 2.456, 2.513, 2.456, 2.456, 2.456, 2.456, 2.456]"
2104,"[3.27, 3.27, 3.27, 3.27, 3.27, 3.27, 3.27, 3.27, 3.27, 2.642]"
2681,"[4.927, 4.927, 4.927, 4.927, 4.29, 4.29, 4.927, 4.927, 4.927, 4.927]"
3006,"[7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 6.247]"
3006,"[7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 7.61, 6.247]"
2019,[1.532]
4469,"[4.193, 4.193, 4.193, 4.193, 4.193, 4.193, 4.193, 4.193, 4.193, 4.193]"
1725,[1.567]
3804,[0.601]
2126,"[4.71, 4.71, 4.71, 4.71, 4.71, 4.71, 4.71, 4.71, 4.185, 4.71]"
1152,"[8.138, 8.138, 8.138, 6.684]"
3193,"[2.537, 2.537, 2.415]"
3039,"[1.603, 1.603, 1.603, 1.603, 1.433, 1.603, 1.603, 1.603, 1.603, 1.603]"
2532,"[1.771, 1.771, 1.771, 1.644]"
1801,[2.004]
3636,"[7.91, 7.91, 7.91, 7.91, 7.91, 7.91, 7.91, 7.91, 7.91, 7.91]"
4913,[3.273]
3939,"[1.992, 1.992, 1.992, 1.992, 1.992, 1.992, 1.992, 1.992, 1.992, 2.245]"
4930,[0.931]
4769,"[2.876, 2.876, 2.876, 2.876, 2.876, 2.876, 2.876, 2.876, 2.876, 2.876]"
2592,[0.821]
4958,[0.617]
1709,"[6.753, 6.753, 6.753, 6.753, 5.539]"
2111,"[2.038, 2.038, 2.021]"
2200,"[0.994, 0.994, 0.994, 0.994, 0.994, 0.994, 0.994, 0.994, 0.994, 0.994]"
977,[0.835]
4783,"[7.828, 8.591, 7.828, 7.828, 7.828, 8.591, 7.828, 7.828, 8.591, 7.828]"
2802,"[7.399, 7.399, 7.139, 7.399, 7.399, 7.399, 7.399, 6.074]"
4322,[2.198]
1134,"[1.396, 1.396, 1.396, 1.396, 1.396, 1.396, 1.396, 1.396, 1.396, 1.396]"
1029,"[3.998, 3.998, 3.998, 3.998, 3.998, 3.998, 3.998, 3.998, 5.638, 3.998]"
4538,"[0.959, 0.959, 0.959, 0.959, 0.959, 1.094, 0.959, 0.959, 0.959, 0.959]"
1204,"[4.483, 2.897, 2.897, 2.897, 2.897, 2.897, 2.897, 2.897, 2.897, 2.897]"
4174,"[7.193, 7.193, 7.193, 7.193, 7.193, 7.193, 7.193, 7.193, 7.193, 7.193]"
4393,"[2.402, 2.402, 2.402, 2.402, 2.402, 2.252]"
3695,"[0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.569]"
3695,"[0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.724, 0.569]"
2952,[2.214]
303,[2.779]
4328,"[1.649, 1.649, 1.649, 1.649, 1.649, 1.649, 1.649, 1.649, 1.649, 1.649]"
3308,"[1.656, 1.656, 1.656, 1.656, 1.656, 1.656, 1.656, 1.656, 1.656, 1.656]"
1374,"[0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.419]"
1374,"[0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.419]"
1336,[2.302]
2091,"[4.382, 4.382, 4.382, 4.382, 4.382, 4.382, 4.382, 4.382, 4.382, 4.223]"
4904,"[1.766, 1.523]"
2595,"[4.972, 4.972, 4.972, 4.715]"
3546,"[1.128, 1.13, 1.13, 1.083]"
4367,"[2.132, 2.132, 2.132, 2.132, 2.135, 2.132, 2.132, 2.135, 2.132, 2.132]"
2454,"[5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824]"
2928,[1.54]
615,"[7.574, 7.574, 7.574, 7.574, 7.574, 7.574, 7.574, 6.171]"
2389,[1.387]
