log_row,log_esb
4760,"[0.732, 0.732, 0.732, 0.605, 0.491, 0.732, 0.732, 0.732, 0.732, 0.605]"
3917,"[1.26, 1.222]"
3397,"[2.154, 1.159, 1.159, 1.159, 1.159, 1.159, 1.159, 1.159, 1.159, 1.159]"
1134,"[1.396, 1.396, 1.396, 1.396, 1.396, 1.396, 1.176]"
4942,"[2.468, 2.468, 3.541, 2.468, 2.468, 2.468, 2.468, 2.468, 2.468, 2.468]"
2451,"[6.009, 6.009, 6.009, 6.716, 6.009, 5.964, 5.623]"
1838,"[5.39, 5.39, 5.39, 4.415]"
4252,"[1.63, 1.502]"
994,"[1.068, 0.844]"
3539,"[1.359, 1.359, 1.359, 1.359, 1.359, 1.359, 1.359, 1.359, 1.359, 1.359]"
3801,[2.03]
276,[1.222]
1550,"[0.486, 0.444, 0.486, 0.444, 0.444, 0.486, 0.486, 0.486, 0.444, 0.486]"
1393,[5.963]
1480,[3.492]
1864,"[1.19, 0.552]"
973,"[1.137, 1.137, 1.137, 1.137, 1.137, 1.137, 1.137, 1.191, 1.137, 1.137]"
2039,"[0.758, 0.758, 0.758, 0.758, 0.758, 0.758, 0.758, 0.664]"
2287,"[1.843, 1.843, 1.843, 1.843, 1.843, 1.843, 1.843, 1.843, 1.843, 1.843]"
769,"[0.776, 0.776, 0.776, 0.776, 0.776, 0.776, 0.776, 0.776, 0.776, 0.776]"
1103,"[7.74, 9.036, 7.74, 7.74, 8.874, 7.74, 7.74, 7.74, 7.74, 7.74]"
3121,"[3.632, 3.284]"
1663,"[0.551, 0.551, 0.551, 0.551, 0.551, 0.551, 0.551, 0.551, 0.551, 0.551]"
2076,"[1.691, 1.691, 1.691, 1.691, 1.691, 1.691, 1.691, 1.691, 1.691, 1.691]"
1444,"[4.022, 4.022, 4.022, 3.392, 4.022, 4.022, 4.022, 4.022, 4.022, 4.022]"
2341,"[7.726, 7.726, 7.726, 6.254]"
3704,"[3.008, 3.008, 3.008, 3.008, 3.008, 3.008, 3.008, 3.008, 3.008, 3.008]"
1010,"[6.586, 5.462]"
4811,"[1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793, 1.793]"
552,"[7.366, 6.045]"
3088,[1.43]
843,[0.578]
4173,[2.568]
1604,[2.563]
3263,"[3.308, 2.709, 2.709, 2.709, 2.709, 2.709, 2.709, 2.709, 2.709, 2.709]"
1375,"[7.737, 6.347]"
3071,"[7.566, 7.923, 7.923, 6.368]"
4298,"[1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46]"
3307,[1.075]
4461,[0.468]
3936,"[3.453, 2.84]"
1683,"[3.342, 3.342, 3.342, 3.342, 3.342, 3.342, 3.342, 2.167, 3.342, 3.342]"
1226,"[2.233, 1.966, 1.662]"
372,"[4.444, 4.444, 4.444, 4.444, 4.444, 4.444, 4.444, 4.444, 4.444, 4.444]"
259,"[0.9, 0.846]"
4653,[4.909]
1123,[3.248]
2166,"[1.492, 1.469]"
