log_row,log_esb
992,[4.991]
3013,"[1.422, 1.635, 1.635, 1.635, 1.238, 1.635, 1.635, 1.635, 1.635, 1.635]"
395,"[1.935, 2.583, 1.935, 1.935, 1.935, 1.935, 1.935, 1.935, 2.583, 1.935]"
1808,"[2.577, 2.577, 2.577, 2.577, 2.048]"
4732,"[6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 3.431]"
4732,"[6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 6.186, 3.431]"
2502,[1.409]
1972,"[1.071, 0.893]"
874,[6.211]
254,[2.946]
4075,"[1.143, 1.143, 1.143, 1.143, 1.143, 1.143, 1.143, 1.143, 1.143, 1.143]"
1861,[1.37]
251,"[0.951, 0.951, 0.951, 0.951, 0.779]"
1243,"[2.734, 2.714]"
3334,"[6.795, 6.795, 6.795, 6.795, 6.795, 4.206, 6.795, 6.795, 6.795, 6.795]"
303,"[3.787, 3.787, 3.787, 3.787, 2.779]"
4924,"[4.492, 3.724]"
4266,"[0.465, 0.465, 0.465, 0.465, 0.42, 0.465, 0.465, 0.465, 0.465, 0.465]"
2971,[5.629]
2925,"[1.77, 1.77, 1.77, 1.77, 1.77, 1.77, 1.77, 1.77, 1.77, 1.77]"
2707,"[1.606, 1.509, 1.509, 1.509, 1.509, 1.485, 1.509, 1.509, 1.509, 1.509]"
3036,[1.096]
2036,"[1.194, 1.194, 1.194, 1.194, 1.194, 1.194, 1.194, 1.194, 1.194, 0.776]"
3540,"[3.317, 3.317, 3.317, 3.317, 3.317, 3.317, 3.317, 3.317, 3.317, 3.317]"
2000,[2.698]
804,[0.55]
2478,"[1.13, 1.13, 1.13, 1.13, 1.13, 1.13, 1.13, 1.13, 1.13, 1.13]"
3479,"[1.752, 1.752, 1.752, 1.752, 1.752, 1.752, 1.752, 1.752, 1.752, 1.752]"
1076,"[3.657, 3.657, 3.657, 3.657, 3.657, 3.657, 3.657, 3.657, 3.657, 4.162]"
4214,"[1.78, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357, 1.357]"
2743,[3.394]
2554,"[1.09, 1.09, 1.09, 1.09, 1.09, 1.09, 1.09, 1.09, 1.09, 1.09]"
2700,"[0.646, 0.646, 0.646, 0.646, 0.646, 0.646, 0.646, 0.582, 0.582, 0.646]"
1260,"[12.071, 12.071, 12.071, 12.071, 6.648]"
91,"[4.058, 4.058, 2.731]"
1013,"[2.128, 2.128, 2.128, 1.992, 1.992, 2.128, 2.128, 2.128, 2.128, 2.128]"
648,[2.944]
4969,"[6.471, 6.471, 6.471, 6.471, 4.458, 6.471, 6.471, 6.471, 6.471, 6.471]"
4777,[1.293]
3168,[0.984]
4262,"[3.466, 3.466, 2.62]"
1013,"[2.128, 2.128, 2.128, 1.988]"
3060,"[1.099, 1.099, 1.099, 0.91]"
3062,[1.584]
2827,[3.389]
3955,[3.483]
3284,[4.186]
1982,[6.323]
1152,[6.684]
2287,"[1.734, 1.734, 1.734, 1.734, 1.734, 1.734, 1.734, 1.734, 1.734, 1.734]"
1345,"[9.986, 9.986, 9.986, 9.986, 9.986, 9.986, 6.617]"
1353,"[0.595, 0.595, 0.595, 0.595, 0.595, 0.595, 0.696, 0.595, 0.595, 0.595]"
630,"[0.585, 0.66, 0.585, 0.585, 0.524]"
3822,[4.087]
1307,"[1.451, 1.379]"
1473,"[7.552, 7.552, 7.552, 7.552, 7.552, 7.552, 7.552, 7.552, 7.552, 7.552]"
1501,"[0.941, 0.736, 0.941, 0.941, 0.941, 0.941, 0.941, 0.834, 0.941, 0.736]"
1844,"[3.633, 2.902]"
3742,[6.116]
945,"[1.007, 1.083, 1.007, 1.007, 1.007, 1.007, 1.007, 1.007, 1.007, 1.007]"
1142,"[1.182, 0.945, 1.182, 0.945, 1.182, 1.182, 0.934]"
2611,[1.044]
1736,[6.517]
1188,"[0.665, 0.665, 0.665, 0.665, 0.665, 0.665, 0.665, 0.665, 0.665, 0.665]"
1176,"[4.159, 2.705]"
2438,"[0.827, 0.827, 0.827, 0.827, 0.827, 0.827, 0.827, 0.754, 0.754, 0.827]"
4673,"[1.307, 1.269]"
4822,"[1.343, 1.343, 1.343, 1.272]"
4317,"[1.866, 1.866, 1.522]"
2306,"[2.975, 2.975, 2.975, 2.975, 2.975, 2.746]"
3820,[1.996]
1636,"[2.727, 2.727, 1.794, 2.727, 2.727, 2.727, 2.727, 2.727, 1.736]"
87,[2.43]
2272,[2.285]
4341,"[0.732, 0.702]"
4751,"[1.454, 1.454, 1.454, 1.449, 1.454, 1.454, 1.454, 1.454, 1.454, 1.454]"
3716,"[9.284, 9.204, 9.284, 9.204, 9.284, 9.284, 9.204, 9.204, 9.284, 9.284]"
4091,"[7.377, 5.864]"
1772,"[1.64, 2.008, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64]"
3756,[6.619]
3375,[6.421]
1311,"[3.033, 2.897]"
1676,[3.635]
2672,"[9.814, 9.814, 6.407]"
4234,[5.969]
733,"[2.771, 2.771, 2.709, 2.771, 2.771, 2.771, 2.709, 2.771, 2.771, 2.709]"
1358,"[1.572, 1.572, 1.572, 1.572, 1.572, 1.572, 1.572, 1.572, 1.519]"
1940,[6.427]
576,[1.113]
2672,"[9.814, 6.407]"
497,[6.616]
4655,"[4.524, 3.928]"
507,[5.992]
158,"[4.186, 4.186, 4.084, 4.186, 4.084, 4.186, 4.186, 4.186, 4.186, 4.186]"
230,[0.476]
650,[6.005]
558,"[2.127, 1.843, 1.843, 1.843, 1.668]"
1306,"[8.286, 6.667]"
4815,[6.695]
3220,"[2.229, 1.367]"
2744,[3.176]
2927,[1.103]
4032,[5.877]
350,"[1.075, 1.075, 1.075, 1.075, 1.075, 1.075, 0.844]"
1271,"[4.012, 4.012, 4.012, 4.012, 4.012, 4.012, 4.012, 6.787, 4.012, 4.012]"
4133,[1.618]
4233,"[0.731, 0.731, 0.731, 0.731, 0.731, 0.731, 0.731, 0.731, 0.731, 0.731]"
153,"[0.908, 0.908, 0.808]"
4238,"[1.909, 1.909, 1.777, 1.768]"
4208,[6.194]
1548,"[3.497, 3.497, 3.497, 2.809]"
2222,[4.893]
2237,[5.755]
2533,"[3.817, 3.817, 3.817, 3.817, 3.817, 3.817, 3.817, 3.817, 3.817, 3.817]"
3850,"[1.434, 1.434, 1.434, 1.434, 1.434, 1.434, 1.434, 1.434, 1.434, 1.434]"
2777,"[1.066, 1.066, 0.998, 0.785]"
1241,"[6.44, 6.44, 6.44, 4.91]"
