log_row,log_esb
2642,"[0.81, 0.81, 0.81, 0.95, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81]"
1075,[1.24]
3017,[0.89]
2128,[6.7]
3452,[6.51]
519,[1.03]
1795,"[2.52, 2.52, 2.52, 2.52, 2.52, 2.52, 3.37, 2.52, 2.52, 2.52]"
2362,[4.43]
4057,"[1.42, 1.42, 1.42, 1.49, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42]"
4617,[1.0]
3050,[3.81]
3052,[1.95]
3843,"[3.86, 3.02]"
1129,[6.58]
2913,"[2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78]"
4920,[0.67]
3500,[5.23]
4378,[1.04]
2907,[1.16]
2279,[3.04]
2954,"[2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49]"
4427,[1.41]
981,[6.53]
1077,[1.11]
2332,[1.22]
4351,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
3039,[1.43]
2289,"[3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32]"
3524,[2.14]
3073,"[7.17, 7.17, 7.17, 7.17, 7.17, 7.17, 6.58]"
1256,[0.51]
474,"[3.79, 3.79, 3.79, 3.79, 3.79, 3.79, 3.79, 3.79, 3.79, 3.79]"
777,"[1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.52]"
4147,[0.38]
4085,"[7.01, 6.05]"
330,[1.47]
4906,"[0.72, 0.62]"
4316,[6.29]
2457,[1.58]
4168,[1.67]
862,[1.29]
4963,[6.44]
928,"[3.19, 3.19, 3.19, 3.19, 3.19, 3.19, 3.19, 3.19, 3.19, 3.19]"
2424,[0.55]
4084,[0.25]
806,[5.88]
4550,"[0.75, 0.65]"
1248,"[0.8, 0.55]"
2006,[1.77]
2571,[1.14]
2916,"[3.22, 3.64, 3.22, 3.22, 3.22, 3.22, 3.22, 3.22, 3.22, 3.22]"
4155,[3.48]
253,[6.38]
123,"[1.61, 1.61, 1.61, 1.61, 1.61, 1.61, 1.61, 1.61, 1.61, 1.61]"
1662,[6.52]
4526,[1.02]
3701,[3.37]
4123,"[1.47, 0.89]"
2850,"[2.41, 2.41, 2.41, 2.41, 2.41, 2.29]"
2889,[6.53]
2472,[1.07]
192,[4.64]
2524,"[0.88, 0.88, 0.88, 1.08, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
4819,[4.98]
3742,[6.12]
2904,[2.43]
77,[6.54]
675,[1.12]
2207,[6.54]
4407,[2.14]
1106,[2.91]
3664,[2.36]
3361,"[0.98, 0.98, 1.09, 0.87]"
273,[2.24]
2579,[4.96]
3241,[6.57]
