log_row,log_esb
3590,[2.9]
4133,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
42,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2316,[1.7]
386,"[7.9, 9.8, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9]"
1458,[0.4]
4335,"[6.6, 5.8, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6]"
3576,"[3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2]"
2233,[2.0]
1251,[0.6]
647,[1.8]
1910,[1.5]
3600,[2.2]
3919,"[4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 5.5, 4.3, 5.5]"
349,"[8.1, 8.1, 8.1, 8.1, 8.1, 6.6]"
3653,[3.0]
2613,"[6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]"
1554,[1.4]
1963,[1.4]
4334,"[2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3]"
