log_row,log_esb
861,"[1.02, 1.02, 1.02, 1.02, 1.02, 1.02, 1.02, 1.153, 1.02, 1.02]"
4321,"[1.155, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155]"
3599,[1.291]
300,[1.73]
2665,[6.114]
3419,"[1.805, 1.409]"
2593,"[12.143, 12.143, 12.143, 12.143, 12.143, 12.143, 12.143, 12.143, 12.143, 12.143]"
4827,"[1.687, 1.687, 1.687, 1.687, 1.687, 1.687, 1.687, 1.687, 1.687, 1.687]"
4804,"[1.552, 1.552, 1.552, 1.552, 1.552, 1.552, 1.552, 1.552, 1.459, 1.552]"
4565,"[1.072, 1.072, 1.072, 1.072, 1.072, 1.072, 1.072, 1.072, 1.072, 1.072]"
546,"[1.126, 1.118, 1.126, 1.126, 1.126, 1.126, 1.126, 1.126, 1.126, 1.126]"
1252,"[1.035, 1.036, 1.036, 1.036, 1.036, 1.036, 1.036, 1.036, 1.036, 1.036]"
648,[2.944]
2889,"[10.762, 10.762, 10.762, 10.762, 10.762, 10.762, 10.762, 10.762, 10.762, 10.762]"
1809,[0.974]
394,"[2.146, 2.146, 2.146, 2.146, 2.146, 2.146, 0.624]"
584,"[3.541, 3.541, 3.541, 3.541, 3.541, 3.541, 3.541, 3.541, 3.541, 3.541]"
2305,"[2.533, 2.202]"
4764,"[3.121, 3.121, 3.121, 3.121, 3.121, 3.121, 3.121, 3.121, 3.121, 3.121]"
4900,"[0.702, 0.669]"
2521,[2.851]
354,[3.2]
2744,[3.176]
4306,[0.768]
2388,"[7.418, 6.138]"
2100,"[2.421, 2.421, 2.421, 2.421, 2.421, 2.421, 2.448, 2.421, 2.421, 2.421]"
1439,"[3.012, 3.012, 3.012, 2.785]"
231,"[5.822, 5.822, 5.822, 3.578, 5.822, 5.822, 5.822, 3.999, 5.822, 5.822]"
2903,"[5.354, 5.354, 5.354, 5.354, 5.354, 5.354, 5.354, 5.354, 5.354, 5.354]"
4438,"[3.082, 2.497, 2.497, 3.082, 2.328, 3.082, 3.082, 3.082, 3.082, 3.082]"
2767,"[0.666, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69]"
1353,"[0.813, 0.813, 0.813, 0.512]"
2383,"[4.594, 4.594, 4.594, 4.594, 4.594, 4.594, 4.594, 4.594, 4.594, 4.594]"
4942,"[3.541, 3.541, 3.541, 3.541, 3.541, 3.541, 3.541, 2.583, 3.541, 3.541]"
2128,"[12.213, 12.213, 12.213, 12.213, 12.213, 12.213, 12.213, 12.213, 12.213, 12.213]"
1614,"[4.31, 4.31, 4.31, 4.31, 4.31, 4.31, 4.31, 4.31, 4.31, 4.31]"
2835,"[5.836, 5.836, 5.836, 5.836, 5.246, 5.836, 5.836, 5.836, 5.836, 5.836]"
1569,[1.419]
4668,"[0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.81]"
4930,"[0.96, 0.96, 0.931]"
4235,[0.819]
1864,[0.552]
4007,"[1.038, 1.023]"
2428,[5.728]
3407,"[0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902]"
1369,[4.192]
1680,"[4.678, 4.678, 4.678, 4.678, 4.678, 4.678, 4.678, 4.678, 4.678, 4.678]"
3692,"[5.835, 5.835, 5.835, 5.835, 5.835, 5.835, 5.835, 5.835, 5.835, 5.835]"
808,[2.302]
2727,[6.44]
4392,"[2.002, 2.002, 2.002, 2.002, 2.002, 2.002, 2.002, 2.002, 0.65]"
1463,[6.382]
529,"[0.669, 0.669, 0.669, 0.669, 0.669, 0.669, 0.669, 0.497]"
4603,"[1.036, 0.909]"
829,"[1.089, 1.089, 0.812]"
1447,"[2.043, 2.096, 2.043, 2.096, 2.096, 2.096, 2.096, 2.096, 2.096, 2.096]"
4167,[6.482]
3101,[0.432]
