log_row,log_esb
1628,"[3.3, 2.9]"
3814,[3.4]
3289,"[1.7, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3]"
1135,[3.0]
1814,"[8.3, 8.3, 8.9, 8.3, 8.3, 8.3, 6.5]"
328,"[7.5, 7.5, 7.5, 7.5, 7.3, 7.5, 7.5, 7.5, 7.5, 7.5]"
865,"[7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 8.1, 8.1, 7.7, 7.7]"
4123,"[1.1, 1.1, 1.1, 1.1, 1.1, 1.5, 1.1, 1.1, 1.1, 1.1]"
3076,"[1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.1]"
3107,[0.8]
4320,[0.8]
2264,[2.7]
3841,"[7.9, 7.9, 8.0, 6.4]"
870,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3233,"[3.8, 3.8, 3.8, 3.8, 3.8, 3.8, 3.8, 3.8, 3.8, 3.8]"
783,"[3.6, 3.6, 3.6, 3.4, 3.6, 3.3, 3.6, 3.6, 3.6, 3.6]"
982,[0.9]
1428,"[5.9, 5.5]"
3961,"[2.5, 3.6, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5]"
1369,"[5.2, 5.2, 6.9, 5.2, 5.2, 5.2, 5.2, 5.2, 5.2, 4.2]"
1369,"[5.2, 5.2, 6.9, 5.2, 5.2, 5.2, 5.2, 5.2, 5.2, 4.2]"
1366,"[0.9, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]"
1399,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2890,[0.4]
428,"[5.6, 6.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6]"
3841,"[7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9]"
170,[1.2]
3617,"[6.3, 6.3, 5.4, 6.3, 6.3, 6.3, 6.3, 6.3, 6.3, 6.3]"
3399,[2.0]
3329,[0.5]
3647,"[3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9]"
1969,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
3413,"[7.5, 7.5, 7.5, 7.5, 6.8, 7.5, 7.5, 7.5, 7.5, 7.5]"
4703,"[7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7]"
3260,"[1.7, 1.7, 1.8, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1723,[0.5]
4364,"[7.8, 7.8, 7.8, 7.8, 9.8, 7.8, 7.8, 7.8, 7.8, 7.8]"
2521,"[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.4]"
1198,"[2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6]"
129,"[2.2, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2]"
2648,"[7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 8.2, 7.9, 8.2, 8.2]"
320,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
2550,[1.0]
3998,"[2.2, 3.3, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2]"
1353,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]"
1974,"[4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7]"
1834,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3204,[0.7]
4053,"[7.1, 7.1, 6.8, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1]"
767,"[4.5, 4.5, 4.5, 4.5, 3.8, 3.7]"
2569,"[3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9]"
2412,"[3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4]"
2388,"[7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5]"
4212,[0.6]
4460,"[7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9]"
1885,"[7.5, 7.5, 7.5, 8.1, 7.5, 7.5, 7.5, 7.5, 8.3, 7.5]"
3184,"[3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9]"
44,[4.5]
1893,"[2.6, 2.6, 2.6, 2.6, 2.6, 2.2, 2.6, 2.6, 2.6, 2.6]"
968,"[1.3, 1.4, 1.3, 1.0]"
2823,[1.2]
3653,[3.0]
447,"[1.5, 1.5, 2.1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]"
4725,"[7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1]"
672,"[3.4, 3.4, 3.4, 5.0, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4]"
4171,[0.8]
4018,"[7.8, 7.8, 6.4]"
531,"[7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5]"
321,"[7.9, 7.9, 7.9, 7.9, 7.9, 6.5]"
1128,"[2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1]"
3257,"[4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2]"
4708,[1.1]
1309,"[4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 3.3]"
2874,[4.5]
