log_row,log_esb
4408,"[0.752, 0.752, 0.752, 0.752, 0.752, 0.752, 0.752, 0.752, 0.752, 0.752]"
1075,[1.243]
336,[6.362]
3198,[6.117]
4971,"[2.347, 2.347, 2.347, 2.347, 2.347, 2.347, 2.347, 2.347, 2.347, 2.347]"
2953,"[0.961, 0.961, 0.961, 0.961, 0.961, 0.961, 0.961, 0.961, 0.961, 0.961]"
2462,"[0.793, 0.984, 0.793, 0.793, 0.793, 0.793, 0.793, 0.793, 0.793, 0.793]"
631,"[1.274, 1.151]"
3945,[2.872]
1069,"[3.062, 3.062, 3.062, 3.062, 3.062, 3.062, 3.062, 3.062, 3.062, 3.062]"
4918,[6.134]
3270,[1.804]
2543,"[6.895, 6.895, 6.895, 6.895, 6.895, 6.895, 6.895, 6.895, 7.259, 6.895]"
308,[3.647]
1446,"[0.711, 0.711, 0.711, 0.781, 0.711, 0.711, 0.711, 0.711, 0.711, 0.711]"
4524,[2.892]
3409,"[2.169, 2.909, 2.169, 2.169, 2.169, 1.992]"
2901,"[2.925, 2.925, 2.925, 5.058, 2.925, 2.925, 2.925, 2.925, 2.925, 2.925]"
4388,[2.375]
4552,[0.604]
2245,"[3.728, 3.728, 3.728, 3.728, 3.728, 3.728, 3.728, 3.728, 2.909]"
4102,"[2.388, 2.388, 2.388, 2.388, 2.388, 2.388, 2.388, 2.388, 2.388, 2.72]"
4409,[0.583]
4374,[2.608]
446,[3.465]
2687,[0.386]
1144,[1.038]
26,"[1.482, 1.482, 1.482, 1.482, 1.482, 1.482, 2.258, 1.482, 1.482, 1.482]"
2001,"[1.738, 1.738, 1.738, 1.738, 1.738, 1.738, 1.738, 1.666, 1.738, 1.738]"
1262,[6.529]
797,"[1.564, 1.564, 1.564, 1.564, 1.564, 1.564, 1.564, 1.564, 1.564, 1.564]"
3999,"[1.642, 1.376, 1.292]"
3146,[1.066]
3507,[2.128]
260,[0.9]
946,[1.008]
332,[4.145]
3590,"[3.392, 3.057, 3.392, 3.392, 3.392, 3.392, 3.392, 3.392, 3.392, 3.392]"
614,[2.893]
1625,"[6.08, 6.08, 6.08, 6.08, 6.08, 6.08, 5.933]"
3747,[6.206]
4351,"[1.172, 1.172, 1.172, 1.172, 1.172, 1.172, 1.172, 1.172, 1.172, 1.172]"
358,"[1.798, 1.798, 1.798, 1.798, 1.798, 1.798, 1.798, 1.798, 1.798, 1.798]"
543,[0.545]
2557,[3.483]
2435,[0.51]
222,[6.549]
4373,[4.588]
1736,[6.517]
631,[1.151]
3998,[1.98]
3738,"[0.431, 0.431, 0.431, 0.431, 0.431, 0.431, 0.431, 0.431, 0.431, 0.431]"
4330,[0.525]
724,"[4.039, 6.071, 6.071, 6.071, 6.071, 6.071, 4.533, 6.071, 6.071, 6.071]"
2936,[3.405]
4780,"[5.801, 5.801, 6.528, 5.801, 5.801, 5.801, 5.801, 5.801, 5.801, 5.801]"
3946,[3.144]
2153,[0.944]
2303,[0.531]
3185,[0.859]
607,"[1.746, 1.746, 1.746, 1.863, 1.746, 1.746, 1.746, 1.746, 1.746, 1.746]"
2407,[6.68]
2360,[1.966]
221,"[7.051, 7.051, 7.051, 7.051, 6.589]"
97,"[0.599, 0.599, 0.599, 0.599, 0.599, 0.599, 0.599, 0.599, 0.599, 0.599]"
3898,"[4.916, 4.916, 4.916, 4.916, 4.916, 4.916, 4.916, 4.916, 4.916, 4.916]"
4472,[0.991]
2012,"[2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17]"
3736,[0.915]
4976,"[2.827, 2.7]"
1731,[0.526]
4296,"[2.531, 2.531, 2.531, 2.531, 2.531, 2.531, 2.531, 2.531, 2.531, 2.531]"
30,"[3.049, 2.685]"
4882,[1.075]
4428,[1.052]
4426,"[8.006, 8.006, 8.006, 8.006, 8.006, 8.006, 8.006, 8.006, 8.006, 8.006]"
1903,"[4.978, 4.978, 4.978, 4.978, 4.978, 4.978, 4.978, 4.978, 4.978, 4.978]"
3601,[5.747]
2539,[6.157]
567,[0.557]
2979,[4.835]
2266,"[6.071, 4.976]"
1694,[1.773]
3286,"[4.898, 4.898, 4.898, 4.888]"
1706,[0.519]
1823,[1.55]
3435,[1.592]
3898,"[4.916, 4.916, 4.916, 4.63, 4.916, 4.916, 4.916, 4.916, 4.916, 4.916]"
4369,[1.658]
1605,[1.583]
3230,"[2.369, 2.369, 2.369, 2.369, 2.369, 2.369, 2.369, 2.369, 2.369, 2.369]"
2043,[1.852]
2064,[5.574]
