log_row,log_esb
3777,[1.643]
3606,"[5.627, 5.009]"
3772,[2.715]
1494,[0.679]
52,[3.769]
3050,[3.81]
1381,[4.578]
2311,[4.256]
2274,"[13.373, 6.752]"
2864,[0.949]
4606,[6.279]
3177,[6.577]
4160,[4.323]
3492,[1.522]
4203,[4.739]
2632,[5.939]
4181,"[5.632, 5.632, 5.632, 5.632, 5.632, 5.632, 5.632, 5.632, 5.632, 5.632]"
4739,"[3.622, 3.622, 3.622, 3.622, 3.273]"
3019,[6.499]
1231,"[0.519, 0.615, 0.519, 0.519, 0.519, 0.519, 0.479]"
3684,"[2.986, 2.986, 2.986, 2.579]"
1611,"[3.51, 3.419]"
2235,[6.401]
4519,[1.034]
3947,[1.818]
4703,[6.346]
1834,"[1.255, 0.774]"
4876,[6.662]
3344,"[1.552, 1.552, 1.552, 1.552, 1.552, 1.552, 1.552, 1.552, 1.552, 1.552]"
4159,"[4.269, 4.957, 4.084]"
2215,[4.341]
1332,"[2.163, 2.163, 2.163, 2.302, 2.163, 2.163, 2.163, 2.163, 2.163, 2.817]"
2422,[5.464]
2964,[1.27]
2523,[6.245]
2404,[0.778]
947,"[0.718, 0.718, 0.718, 0.764, 0.718, 0.697]"
928,[2.428]
1831,[1.931]
1601,[3.538]
4819,[4.98]
2561,[1.187]
3376,"[1.341, 0.679]"
579,"[1.545, 1.545, 1.545, 1.545, 1.545, 1.545, 1.545, 1.545, 1.545, 1.545]"
520,"[2.231, 2.231, 2.231, 2.231, 2.231, 2.231, 2.231, 2.231, 2.231, 2.231]"
65,[6.155]
1523,[1.671]
1724,"[2.618, 2.618, 2.618, 2.618, 2.618, 2.618, 2.618, 2.618, 2.618, 2.618]"
3235,[3.211]
621,[1.702]
1376,[2.925]
4279,"[6.114, 6.114, 6.114, 6.114, 6.114, 6.114, 6.114, 6.114, 6.114, 6.114]"
4659,"[3.564, 3.564, 3.564, 3.564, 3.564, 3.564, 3.564, 3.564, 3.564, 3.564]"
2095,[1.483]
647,[1.788]
622,[3.973]
1830,[5.09]
4743,"[12.154, 6.632]"
4997,[1.073]
2069,"[2.679, 2.679, 2.679, 2.679, 2.679, 2.679, 2.679, 2.679, 2.679, 2.679]"
345,[2.422]
4523,[4.891]
3773,"[1.025, 0.995]"
1680,[2.578]
2142,"[0.786, 1.0, 0.786, 0.786, 0.786, 0.786, 0.891, 0.786, 0.786, 0.786]"
877,[6.168]
4307,[1.677]
2791,[6.617]
3944,"[2.554, 2.51]"
