log_row,log_esb
65,[6.16]
2099,[0.67]
3403,"[0.37, 0.35]"
2699,[0.59]
4603,"[1.0, 1.0, 1.04, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96]"
4781,[1.06]
397,[0.55]
3888,[1.14]
4237,[0.47]
3220,[1.37]
3561,[6.7]
1407,[1.04]
751,[3.34]
3237,[3.91]
2561,[1.19]
4582,[6.41]
1593,[0.52]
3576,[3.02]
4312,"[6.54, 6.54, 6.54, 6.48, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54]"
3323,[1.64]
4902,[0.86]
1149,"[5.89, 5.89, 5.89, 5.89, 6.28, 6.7, 5.89, 5.89, 5.89, 5.89]"
967,[6.55]
3583,[3.22]
525,[1.52]
4376,[3.16]
3920,[1.74]
657,"[3.48, 3.48, 3.48, 4.08, 3.48, 3.48, 3.48, 3.48, 3.48, 3.48]"
2690,"[3.15, 3.15, 3.15, 3.15, 3.15, 3.15, 3.15, 3.15, 3.15, 3.15]"
4411,[1.19]
4353,[1.06]
1687,[0.92]
3319,[2.31]
4500,"[5.62, 3.6]"
4779,[6.58]
805,[2.83]
642,[5.95]
848,[2.0]
4178,[0.99]
1816,[5.16]
682,"[0.48, 0.51, 0.48, 0.48, 0.48, 0.48, 0.48, 0.47]"
4330,[0.52]
1625,"[6.08, 5.93]"
1202,"[4.26, 4.26, 4.26, 4.26, 4.26, 4.26, 4.26, 4.26, 4.26, 4.26]"
3154,"[1.62, 1.65, 1.62, 1.62, 1.62, 1.62, 1.62, 1.62, 1.62, 1.62]"
3492,"[1.65, 1.65, 1.69, 1.65, 1.65, 1.65, 1.65, 1.65, 1.65, 1.65]"
4006,"[4.78, 4.78, 4.78, 4.78, 4.78, 4.78, 4.78, 4.78, 4.78, 4.78]"
3407,[0.61]
525,[1.52]
3682,[3.44]
3844,[4.78]
2418,"[1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32]"
315,[1.96]
1829,[5.19]
3748,"[1.08, 1.03]"
3509,[0.25]
3038,[6.58]
4438,[2.29]
4070,[6.39]
4889,[6.52]
261,[4.21]
3061,"[5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6]"
293,"[0.7, 0.55]"
2146,"[2.46, 2.46, 2.46, 2.46, 2.46, 2.46, 2.46, 2.46, 2.46, 2.46]"
3021,"[0.48, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44]"
2513,"[5.01, 3.24]"
2416,"[1.12, 1.06]"
1614,"[2.93, 2.93, 2.93, 2.93, 2.93, 2.93, 2.93, 2.93, 2.93, 2.93]"
3225,[3.31]
3729,[6.22]
3376,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
1816,[5.16]
1922,[1.02]
1593,[0.52]
1529,[6.5]
4286,[1.24]
1877,[4.99]
4449,[6.9]
4737,"[1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4]"
1102,"[1.51, 1.51, 1.51, 1.51, 1.51, 1.51, 1.51, 1.51, 1.51, 1.51]"
1199,[1.6]
3904,[4.8]
2746,[2.08]
3723,"[5.79, 5.79, 5.79, 5.79, 5.79, 5.79, 5.79, 5.79, 5.79, 5.67]"
2105,[1.08]
3966,"[1.06, 1.06, 1.06, 1.06, 1.06, 1.5, 1.06, 1.06, 1.06, 1.06]"
1965,"[0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87]"
1031,[0.44]
3146,[1.07]
4254,[1.27]
4940,[2.49]
2579,[4.96]
2777,[0.78]
4863,[2.91]
1223,[5.84]
2450,"[5.86, 5.86, 5.86, 5.86, 5.86, 5.86, 5.86, 5.86, 5.86, 5.86]"
2478,"[1.08, 1.08, 1.08, 1.08, 1.08, 1.08, 1.13, 1.08, 1.08, 1.08]"
2284,[2.0]
4952,"[6.06, 5.9]"
1642,[6.56]
3919,[4.01]
4938,"[8.41, 8.41, 8.41, 8.41, 8.41, 6.58]"
3676,[1.76]
4245,"[3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2]"
2921,[1.54]
2785,"[2.28, 2.17]"
2826,"[3.15, 3.15, 3.15, 2.97, 3.15, 3.15, 3.15, 3.15, 3.15, 3.15]"
1004,[3.02]
3953,"[7.0, 6.91, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
2094,[2.2]
3410,"[1.2, 1.27, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
2153,[0.94]
1467,"[1.35, 1.08]"
1450,[2.22]
4792,"[2.57, 2.57, 2.57, 2.57, 2.57, 2.57, 2.57, 2.57, 2.57, 2.57]"
4166,[4.0]
4142,"[1.58, 1.37]"
2898,"[1.64, 1.56]"
1983,[6.11]
3341,[1.7]
3826,[2.61]
155,[6.62]
4609,[1.72]
2964,[1.27]
2760,"[1.73, 1.54]"
86,[3.19]
4413,[0.53]
2064,[5.57]
3105,[0.75]
1288,[0.59]
2514,[5.97]
3881,[1.31]
2566,"[5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.12]"
2566,"[5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.14, 5.12]"
1435,[6.42]
2221,"[6.45, 5.42, 5.42, 5.42, 5.42, 5.42, 5.42, 5.42, 5.87, 5.42]"
1415,[2.15]
1559,[1.35]
875,[0.89]
4457,[5.0]
751,[3.34]
4526,"[1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12]"
4771,"[3.83, 3.83, 3.83, 3.83, 3.29, 3.83, 3.83, 3.83, 3.83, 3.83]"
4248,[6.29]
967,"[10.98, 6.55]"
4232,[2.02]
607,"[1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75]"
3126,[1.45]
3705,[5.31]
3919,"[4.27, 4.01]"
1016,"[3.62, 3.62, 3.62, 3.62, 3.28, 3.86, 3.62, 3.86, 3.28, 3.62]"
1641,"[3.64, 3.64, 3.64, 3.64, 3.64, 3.64, 3.64, 3.64, 3.64, 3.64]"
2254,[0.51]
3298,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.95]"
814,[2.22]
2839,"[2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17, 2.17]"
3860,[2.33]
1582,[4.54]
1171,[6.21]
3021,"[0.44, 0.44, 0.44, 0.45, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44]"
403,[0.98]
2721,"[1.6, 1.6, 1.6, 1.6, 1.56]"
576,[1.11]
1946,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
3974,"[0.46, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34]"
1132,[5.08]
2727,[6.44]
3355,[1.16]
207,"[2.87, 2.87, 2.87, 4.01, 4.01, 2.87, 2.87, 2.87, 2.87, 2.87]"
2954,"[2.49, 2.49, 2.49, 2.48]"
2760,[1.54]
1132,[5.08]
4819,[4.98]
28,[0.76]
477,[2.86]
414,[1.08]
2118,[2.64]
1733,[0.73]
3262,"[1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12]"
349,[6.65]
2429,[1.7]
3067,[4.59]
641,[1.06]
2669,"[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
2542,[3.42]
3755,[0.97]
1719,"[3.86, 3.86, 3.86, 3.86, 3.86, 3.86, 3.86, 3.86, 6.68, 3.86]"
1401,"[1.77, 1.77, 1.77, 1.77, 1.77, 1.77, 1.77, 1.77, 1.92, 1.92]"
1665,[5.49]
3384,[5.3]
3341,[1.7]
4199,[0.69]
2895,[2.02]
2802,[6.07]
2979,[4.84]
1199,[1.6]
4643,"[0.9, 0.7]"
4750,[6.38]
1345,[6.62]
1611,[3.42]
1976,[2.9]
369,[6.52]
3800,[0.92]
63,[5.31]
179,[3.34]
4488,"[1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67]"
2434,[0.92]
1271,"[4.01, 4.01, 4.01, 4.01, 4.01, 4.01, 4.01, 4.01, 4.01, 4.01]"
918,[0.81]
2184,[3.78]
3310,[0.72]
