log_row,log_esb
2539,[6.16]
2018,[3.03]
3833,[1.78]
3987,[1.14]
2537,[1.02]
1287,[4.6]
1975,[6.38]
4434,[6.18]
3420,"[1.51, 1.47]"
4798,[1.14]
3377,[3.24]
1047,[1.26]
1813,[0.86]
3365,[2.03]
2145,[4.75]
1867,[4.05]
1133,[5.16]
4662,[1.46]
1164,[1.07]
2533,[2.78]
3257,[3.19]
1721,[6.59]
4396,"[6.07, 4.05]"
45,[0.73]
4195,[0.75]
607,[1.71]
3275,"[2.1, 1.7]"
3243,[6.45]
1546,[1.18]
3062,"[1.59, 1.59, 1.59, 1.68, 1.58]"
4315,[4.02]
3349,"[4.63, 4.63, 5.54, 4.63, 4.63, 4.63, 4.63, 4.63, 4.63, 4.63]"
2619,[0.81]
4611,[6.39]
3008,[0.82]
3197,[4.38]
2837,[5.98]
937,"[0.52, 0.52, 0.52, 0.52, 0.52, 0.52, 0.52, 0.52, 0.52, 0.52]"
2094,[2.2]
3663,[1.19]
3275,[1.7]
3177,[6.58]
4916,"[4.93, 4.93, 4.93, 4.93, 4.93, 4.93, 4.93, 4.88]"
1979,[2.05]
2479,[1.37]
4324,"[0.95, 0.93]"
2892,[1.41]
401,"[2.91, 2.78]"
4570,[2.99]
1803,[6.47]
4728,[6.49]
3976,[1.05]
2387,[0.89]
2912,[3.47]
826,[4.99]
3691,[1.56]
4822,[1.27]
3496,[5.89]
99,[0.71]
998,[6.63]
3705,[5.31]
4989,[0.6]
4531,[6.28]
919,[6.45]
1098,[5.09]
51,[5.7]
3361,"[1.19, 0.87]"
1292,[0.47]
743,[4.13]
3166,[0.99]
1511,[1.0]
3031,[5.14]
24,"[1.56, 1.2]"
4802,[1.78]
3539,"[1.4, 1.3]"
1547,"[3.14, 3.43, 3.14, 3.14, 3.14, 3.14, 3.14, 3.14, 3.14, 3.14]"
1392,[5.63]
3760,[6.66]
1114,[1.14]
3168,[0.98]
3980,[2.27]
3362,[0.87]
3629,[6.7]
2034,"[0.59, 0.54]"
1433,[5.38]
1935,[6.46]
4047,[6.64]
2250,[1.8]
1350,[2.04]
1073,[1.99]
3719,[6.02]
2445,[4.66]
4860,[4.18]
208,[2.53]
2077,[3.78]
3017,[0.89]
2005,[5.7]
688,[1.18]
3525,[2.34]
2470,[3.14]
1076,[3.6]
463,[6.62]
269,[2.85]
4852,[2.22]
3231,[4.75]
4420,[5.0]
3541,[0.86]
3200,[2.54]
4696,"[0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33]"
4244,[3.66]
1057,[6.35]
2209,[1.07]
3559,"[2.91, 2.91, 2.91, 2.91, 2.91, 2.91, 2.91, 2.9]"
1017,[6.56]
2086,[6.62]
4951,[3.45]
2877,[0.74]
4542,"[1.83, 1.66]"
2292,[2.22]
542,[1.15]
1430,[2.68]
506,[0.58]
3048,[0.72]
3526,"[2.0, 2.0, 2.0, 2.0, 1.99]"
2580,[2.08]
4031,[1.32]
3063,[3.71]
4361,[1.17]
1218,[6.47]
1238,[4.57]
1861,[1.37]
4555,[2.47]
4680,[1.64]
1845,[0.36]
513,[0.54]
3317,[1.03]
2146,[2.3]
4055,[2.53]
1322,[1.7]
1143,[0.72]
758,[0.24]
4786,[1.67]
42,[0.42]
1958,[5.46]
282,[1.49]
832,"[4.54, 4.54, 4.54, 4.54, 4.54, 4.54, 4.54, 4.54, 4.54, 4.54]"
1195,[0.53]
3799,"[1.79, 1.16]"
40,[4.48]
2330,"[7.5, 6.16]"
2764,[3.99]
31,[6.24]
1080,[3.39]
4026,[4.24]
4916,"[4.93, 4.93, 4.93, 4.93, 4.93, 4.93, 4.93, 4.93, 4.93, 4.93]"
2060,[2.47]
2217,[6.34]
287,[4.55]
3412,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1676,[3.64]
3591,[4.21]
4102,"[2.39, 2.39, 2.38]"
1999,[1.24]
3290,"[3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23]"
3298,[2.95]
407,[1.63]
3551,[1.0]
4125,[1.64]
3986,[2.18]
4509,[0.33]
4493,[1.7]
4871,[1.13]
2869,[1.17]
94,[0.76]
2709,[5.93]
1353,[0.51]
1759,[5.48]
1736,[6.52]
730,[1.7]
329,[4.87]
2096,[3.45]
1730,[1.39]
3045,"[1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22]"
126,"[0.88, 0.84]"
4819,[4.98]
3680,"[1.01, 0.89]"
4316,[6.29]
715,[5.01]
1191,[1.74]
62,[0.71]
1023,[1.98]
3872,[1.82]
2198,[6.48]
1566,[0.24]
2831,[4.45]
3837,[2.65]
3014,[6.53]
14,[5.55]
1893,[2.1]
1417,[1.91]
795,[2.67]
4684,[1.0]
2844,[3.36]
1753,"[0.94, 0.91]"
4118,[5.46]
1374,[0.42]
1790,[2.76]
3838,[1.17]
4441,[1.17]
2759,[0.87]
2619,[0.81]
1233,[6.41]
4671,[0.41]
3382,[6.68]
853,[1.31]
207,[2.85]
1705,[6.67]
496,"[5.68, 5.11, 4.49]"
2318,[0.52]
2546,[0.95]
148,[4.71]
1551,[0.7]
3522,[1.5]
3674,[2.89]
1282,[2.84]
523,[6.52]
4967,[4.13]
1193,[1.41]
4805,[1.49]
622,[3.97]
3349,"[4.63, 4.63, 4.63, 4.63, 4.63, 4.63, 4.63, 4.63, 4.63, 4.63]"
523,[6.52]
1769,[0.28]
589,[2.06]
1716,[1.78]
4091,[5.86]
3236,[2.1]
2600,[1.02]
1263,[2.29]
1612,[2.11]
