log_row,log_esb
2363,"[1.71, 1.71, 1.71, 1.71, 1.71, 1.71, 1.71, 1.71, 1.71, 1.71]"
2046,[0.47]
677,"[0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
497,"[8.23, 8.23, 10.25, 8.23, 8.23, 8.23, 8.23, 8.23, 10.25, 8.23]"
3080,"[7.71, 7.71, 6.33]"
3389,"[0.58, 0.58, 0.61, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]"
4523,[4.89]
2651,"[2.58, 2.58, 2.58, 2.32]"
3071,"[7.92, 7.92, 7.92, 7.92, 7.57, 7.92, 7.92, 7.92, 7.92, 7.92]"
1396,"[2.43, 2.43, 2.43, 2.43, 2.38]"
4408,"[0.75, 0.75, 0.75, 0.75, 0.83, 0.75, 0.75, 0.75, 0.75, 0.75]"
3307,"[1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34]"
1848,[1.21]
2087,"[1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52]"
2062,"[1.4, 1.4, 1.12]"
1774,[3.06]
2165,[0.43]
3258,"[3.13, 3.13, 3.13, 3.13, 3.13, 3.13, 3.13, 3.13, 3.13, 3.13]"
331,"[1.72, 1.72, 1.72, 1.72, 1.72, 1.72, 1.72, 1.72, 1.72, 1.72]"
6,"[0.59, 0.59, 0.64, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59]"
3470,[2.35]
2926,"[4.21, 4.21, 4.21, 4.21, 4.21, 4.21, 4.21, 4.21, 4.21, 4.21]"
3859,"[6.89, 6.89, 6.89, 6.89, 6.89, 6.89, 7.78, 6.89, 6.89, 6.89]"
489,"[8.29, 8.29, 8.29, 8.29, 8.29, 8.29, 8.29, 8.29, 8.29, 8.29]"
2348,"[2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76]"
413,[1.54]
4191,"[1.69, 1.36]"
900,"[2.24, 2.24, 2.24, 2.24, 2.24, 2.24, 2.24, 2.24, 1.91, 2.24]"
1642,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
366,"[8.74, 8.74, 8.74, 8.74, 8.74, 8.74, 8.74, 8.74, 8.74, 8.74]"
3377,"[3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6]"
1435,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
4729,"[0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 1.1, 0.86, 0.86, 0.86]"
2191,"[7.91, 7.91, 7.91, 7.91, 7.91, 7.91, 9.92, 7.91, 7.91, 7.91]"
3284,[4.19]
999,"[2.25, 2.25, 2.25, 2.25, 3.77, 2.25, 2.25, 2.25, 2.25, 2.25]"
2907,"[1.33, 1.33, 1.33, 1.33, 1.57, 1.33, 1.33, 1.33, 1.33, 1.33]"
334,"[1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47]"
3342,"[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]"
3476,"[4.09, 4.6, 4.6, 4.6, 5.06, 4.6, 4.6, 4.6, 4.6, 4.6]"
3463,[0.87]
2129,"[0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42]"
3658,"[8.06, 8.06, 8.06, 8.06, 8.06, 8.06, 8.06, 8.06, 9.82, 8.06]"
3787,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
3970,"[5.67, 5.67, 5.67, 5.67, 5.67, 5.67, 5.67, 5.59]"
1000,"[2.24, 2.24, 2.24, 1.2]"
4799,[2.78]
2001,[1.65]
1329,"[1.31, 1.31, 1.31, 1.31, 1.31, 1.31, 1.31, 1.31, 1.31, 1.31]"
901,"[7.67, 7.67, 7.67, 7.67, 7.67, 7.67, 7.67, 7.67, 7.67, 7.67]"
1190,"[1.5, 1.39]"
1723,[0.49]
4870,"[2.68, 2.68, 2.68, 2.25]"
4523,[4.89]
1774,[3.06]
2004,"[9.14, 9.14, 9.14, 9.14, 9.14, 9.14, 9.14, 9.14, 9.14, 9.14]"
3147,"[2.34, 1.56]"
3917,"[1.26, 1.26, 1.26, 1.26, 1.26, 1.26, 1.26, 1.26, 1.26, 1.26]"
1219,"[5.56, 5.56, 5.56, 5.56, 5.56, 5.56, 5.56, 5.56, 5.56, 5.56]"
2302,[2.09]
