log_row,log_esb
3094,"[6.47, 6.47, 6.47, 6.47, 6.31, 6.47, 6.47, 6.47, 6.47, 6.47]"
382,[6.84]
4469,[3.43]
2922,[1.2]
623,"[3.82, 3.82, 3.82, 3.82, 3.82, 3.62, 3.82, 3.82, 3.82, 3.82]"
2580,"[2.83, 2.83, 2.83, 2.83, 2.83, 2.83, 2.83, 2.83, 2.83, 2.83]"
2697,[0.9]
2047,"[1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.85, 1.7, 1.7]"
2569,"[3.87, 3.17]"
2913,"[2.78, 2.78, 5.13, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78]"
4427,"[1.73, 1.73, 1.73, 1.73, 1.73, 1.73, 1.46, 1.73, 1.73, 1.73]"
1073,[1.99]
366,[6.62]
4759,"[2.19, 2.19, 2.19, 1.66, 1.66, 2.19, 2.19, 2.19, 2.19, 2.19]"
4934,"[2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51]"
1634,"[5.38, 5.38, 5.38, 5.38, 5.38, 5.38, 5.38, 5.38, 5.38, 5.38]"
571,[0.82]
2541,"[2.44, 2.44, 2.44, 2.44, 2.44, 2.44, 2.44, 2.44, 2.44, 2.44]"
2165,"[0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49]"
899,[1.24]
507,[5.99]
1320,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
1372,"[2.18, 2.02, 2.19, 2.19, 2.19, 2.19, 2.19, 2.19, 2.19, 2.19]"
2897,"[1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.42, 1.46, 1.46]"
4272,"[3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23]"
4652,[5.63]
954,"[3.74, 2.41, 3.74, 3.74, 3.74, 3.74, 3.74, 3.74, 2.38, 3.74]"
4110,[3.02]
2445,[4.66]
630,"[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.52]"
630,"[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.52]"
2126,"[3.87, 3.87, 3.87, 3.87, 4.71, 3.87, 3.87, 4.71, 3.83]"
4697,[3.04]
424,[1.7]
1516,"[0.79, 0.75, 0.79, 0.79, 0.73]"
321,[6.5]
3269,[5.77]
4694,"[0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44]"
1934,[0.94]
2596,"[7.38, 7.38, 7.38, 7.38, 7.38, 7.0]"
3706,[0.77]
3293,"[9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92]"
1885,[6.16]
3605,"[4.72, 4.72, 3.69, 3.69, 4.72, 3.69, 4.72, 4.72, 4.72, 4.72]"
3445,[2.47]
3411,"[1.13, 1.53, 1.53, 1.53, 1.53, 1.53, 1.53, 1.53, 1.53, 1.14]"
4934,"[2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51, 2.51]"
3075,"[2.72, 2.72, 2.66]"
2947,"[1.2, 1.29, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
2569,[3.17]
578,[6.52]
2551,"[3.01, 3.01, 3.01, 3.01, 3.01, 3.01, 3.01, 3.01, 3.01, 3.01]"
1754,"[3.71, 3.71, 3.71, 3.71, 3.71, 3.71, 3.71, 3.71, 3.71, 3.71]"
1834,[0.77]
2977,"[0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
1684,"[3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 2.85, 3.62, 3.62]"
411,"[2.38, 2.38, 2.38, 2.38, 2.38, 2.38, 2.38, 2.38, 2.38, 2.38]"
3582,"[1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92]"
3327,"[6.39, 6.39, 6.39, 6.39, 6.39, 6.39, 6.39, 6.39, 6.39, 6.39]"
190,"[4.79, 4.79, 4.79, 4.79, 4.79, 4.79, 4.79, 4.79, 4.79, 4.79]"
3917,[1.22]
3399,"[2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.06, 2.26]"
2297,"[4.28, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29]"
1980,[2.34]
1611,"[4.92, 4.92, 4.92, 3.51, 4.92, 4.92, 4.92, 4.92, 4.92, 4.92]"
69,"[3.63, 3.63, 3.63, 3.63, 3.63, 3.63, 3.63, 3.63, 3.63, 3.63]"
1040,[2.15]
3127,"[2.75, 2.75, 2.75, 2.75, 2.75, 2.75, 2.75, 2.75, 2.75, 2.75]"
364,"[4.84, 4.84, 4.84, 4.84, 4.84, 4.84, 4.84, 4.84, 4.84, 3.78]"
1509,"[6.84, 6.84, 6.84, 6.84, 6.84, 6.84, 6.84, 6.84, 6.84, 6.84]"
2395,[1.54]
4703,[6.35]
3921,"[0.46, 0.46, 0.37, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46]"
1060,[0.67]
627,[5.55]
190,"[4.79, 4.79, 4.79, 4.79, 4.79, 3.91]"
3093,[2.95]
495,"[2.13, 2.13, 2.13, 2.13, 2.13, 2.13, 2.13, 2.13, 2.13, 2.13]"
3585,"[8.11, 8.11, 8.11, 8.11, 8.11, 7.27, 8.11, 8.11, 8.11, 8.11]"
2001,"[1.67, 1.67, 1.74, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.65]"
