log_row,log_esb
1552,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.5, 1.2]"
2671,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.1]"
2671,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.1]"
198,"[8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3]"
4645,"[5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5]"
3209,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]"
1224,"[3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6]"
4788,"[7.6, 7.6, 9.0, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6]"
3025,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.4, 1.0]"
536,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
3872,[1.8]
1501,[0.7]
4465,"[7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1]"
435,"[6.2, 6.2, 6.2, 6.2, 6.2, 6.1, 6.2, 6.2, 5.1]"
1093,"[1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8]"
3389,[0.6]
181,[2.0]
1546,[1.2]
1853,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
789,"[2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4]"
2806,"[0.9, 0.9, 0.9, 0.8]"
3901,[0.5]
2829,[0.9]
1024,"[2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.6]"
4726,[1.3]
1330,"[3.7, 3.7, 3.0]"
4864,[0.7]
740,"[1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3]"
2007,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
3779,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
2389,[1.4]
2762,"[6.6, 6.6, 6.6, 6.6, 6.6, 6.1, 6.6, 6.6, 6.6, 6.6]"
1029,"[4.0, 4.0, 3.8]"
3452,"[7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9]"
2273,"[6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1]"
1559,"[1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
3571,[1.1]
956,"[4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.4, 4.8, 4.8, 4.8]"
1893,"[2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.2, 2.6, 2.6]"
4433,[1.8]
3934,[6.0]
