log_row,log_esb
4242,[1.5]
2013,[0.6]
1473,"[7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9]"
4671,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.8, 0.5, 0.5]"
2161,"[2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8]"
3078,"[4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.4]"
2023,[1.8]
2771,[1.1]
3704,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
3024,[1.2]
3871,"[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]"
2383,"[4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3]"
3919,"[4.3, 4.3, 4.3, 4.3, 5.5, 4.3, 4.3, 4.3, 4.3, 4.3]"
4845,[0.3]
4060,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]"
2536,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0]"
2171,"[8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3]"
4195,[0.7]
4000,"[2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6]"
2735,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1752,[1.1]
1223,"[7.1, 7.1, 7.6, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1]"
4613,[1.4]
3800,"[1.2, 0.9]"
1198,"[2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6]"
3642,"[1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1]"
4169,[0.6]
1607,[0.6]
858,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]"
3116,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
4540,"[7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7]"
1418,[0.8]
4784,[1.2]
1631,[1.5]
3468,"[2.2, 2.2, 2.2, 3.4, 2.2, 2.2, 2.2, 2.2, 2.2, 2.2]"
2755,[1.5]
2155,"[7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8]"
3751,[0.5]
4234,"[6.4, 6.4, 6.4, 6.4, 6.4, 6.4, 6.4, 6.4, 6.4, 6.4]"
2953,[1.0]
3392,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]"
1635,"[1.5, 1.5, 1.5, 1.5, 1.6, 1.5, 1.5, 1.5, 1.5, 1.5]"
3080,"[7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7, 7.7]"
687,"[8.1, 8.1, 9.6, 8.1, 8.1, 8.1, 8.1, 8.1, 8.1, 8.1]"
196,"[2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8]"
2514,"[7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4]"
944,[5.1]
84,[0.6]
925,"[3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.5, 3.9]"
778,"[1.4, 1.5, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4]"
2952,[2.2]
3518,"[4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4]"
157,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
1838,"[5.4, 5.4, 5.4, 5.4, 5.4, 5.4, 5.4, 5.4, 5.4, 5.4]"
4006,[4.8]
3131,"[2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.4]"
4909,"[7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2]"
1558,[0.4]
2517,"[4.7, 4.7, 4.7, 4.7, 4.7, 4.3]"
198,"[8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3]"
3646,[1.4]
921,[0.4]
1335,[1.5]
800,[1.8]
3920,"[2.1, 2.1, 1.8, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1]"
799,"[7.1, 7.1, 7.1, 5.8]"
1077,[1.1]
4272,"[3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6]"
1740,"[6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1]"
2683,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
4940,[2.5]
1793,[0.7]
4406,[0.8]
930,[0.7]
1484,"[3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1]"
1212,[1.1]
145,"[6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7]"
106,"[5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5]"
2550,[1.0]
930,[0.7]
4018,"[7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8, 7.8]"
1625,"[6.8, 6.8, 6.8, 6.8, 6.8, 6.8, 6.8, 6.8, 6.8, 6.8]"
991,"[6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7]"
4761,"[1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1]"
1967,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]"
2407,"[8.9, 10.9, 8.9, 8.9, 8.9, 8.9, 8.9, 8.9, 8.9, 8.9]"
2090,[1.7]
3667,"[4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 3.6]"
3667,"[4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 3.6]"
1742,[0.7]
1262,"[8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3]"
3982,"[7.5, 7.5, 7.5, 8.5, 7.5, 7.5, 7.5, 7.5, 8.4, 7.5]"
781,"[7.5, 7.5, 8.8, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5]"
1653,[1.3]
802,[1.1]
1337,"[3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9]"
875,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4671,[0.4]
50,[1.4]
1740,"[6.3, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1, 6.1]"
1967,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.8]"
3115,"[5.6, 5.6, 5.6, 5.6, 5.6, 4.9]"
1573,"[2.7, 4.3, 2.7, 2.6, 4.3, 2.7, 2.7, 2.7, 2.7, 2.7]"
2261,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]"
4034,"[6.3, 6.3, 6.3, 6.3, 6.3, 6.3, 6.3, 6.3, 6.3, 6.3]"
251,[0.8]
2660,"[7.3, 7.3, 7.3, 8.1, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3]"
4249,"[1.3, 1.3, 1.3, 1.3, 1.0]"
1271,"[4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7]"
2714,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
4186,[0.8]
2762,"[6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6]"
4227,[0.8]
539,"[4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 3.9, 4.2, 4.2]"
3305,"[1.0, 0.7]"
4203,"[5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 4.8, 5.6]"
3040,"[6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5]"
701,"[2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6]"
3323,"[2.8, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 2.8, 2.8]"
2469,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
4319,[2.1]
2756,"[2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9]"
2125,[0.8]
696,"[7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6]"
4648,"[1.8, 2.2, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8]"
2028,"[2.9, 2.9, 2.9, 2.9, 3.1, 2.9, 2.9, 2.9, 2.9, 3.1]"
4734,[5.9]
3342,"[0.8, 0.6, 0.6, 0.7, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]"
3948,[1.5]
1573,"[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]"
3457,"[1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.3]"
476,[1.0]
80,[1.2]
579,[1.3]
4316,"[7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6]"
2406,"[5.4, 5.4, 5.4, 5.4, 5.4, 5.4, 5.0, 5.4, 5.4, 5.4]"
1427,[0.6]
4352,[1.2]
4947,"[4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7]"
1448,"[8.8, 9.6, 8.8, 8.8, 8.8, 8.8, 8.8, 6.6]"
4113,"[1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
4721,"[1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.7, 1.9]"
411,"[2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5]"
4118,"[6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6, 6.6]"
242,"[2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1, 2.1]"
2067,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.7, 0.7, 0.7]"
4931,"[1.0, 1.0, 1.0, 1.2, 1.0, 0.9]"
2975,[0.8]
92,"[2.1, 2.1, 2.1, 2.1, 2.1, 1.8]"
2896,"[3.0, 3.0, 3.0, 3.0, 2.9, 3.0, 3.0, 3.0, 3.0, 3.0]"
744,"[5.5, 5.5, 5.5, 5.5, 5.5, 6.3, 5.5, 5.5, 5.5, 5.5]"
3106,[3.0]
3515,[0.4]
799,[5.8]
3247,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]"
2524,[0.9]
