log_row,log_esb
1888,"[2.408, 2.408, 2.408, 2.408, 2.408, 2.408, 2.408, 2.408, 2.408, 2.408]"
4580,[2.068]
3262,[1.061]
4762,"[0.585, 0.585, 0.585, 0.585, 0.585, 0.585, 0.585, 0.585, 0.585, 0.585]"
3503,[6.163]
4237,[0.472]
1061,[1.002]
2582,[1.61]
1032,[2.336]
3762,"[0.657, 0.657, 0.657, 0.657, 0.657, 0.657, 0.657, 0.657, 0.657, 0.657]"
2262,[1.29]
925,[3.441]
1988,[2.324]
2807,"[0.556, 0.556, 0.556, 0.556, 0.556, 0.556, 0.556, 0.556, 0.556, 0.556]"
429,"[2.309, 3.445, 2.309, 2.309, 2.309, 2.309, 2.309, 2.309, 3.445, 2.309]"
61,"[4.172, 4.172, 4.172, 3.855, 4.172, 4.172, 4.172, 3.799]"
2335,[0.904]
1693,[4.858]
1646,"[3.131, 3.131, 3.131, 3.131, 3.131, 3.131, 2.917]"
2201,[0.791]
681,[1.094]
4352,[1.216]
533,[3.699]
2390,"[0.393, 0.393, 0.409, 0.409, 0.393, 0.393, 0.393, 0.393, 0.393, 0.393]"
3251,"[1.486, 1.486, 1.486, 1.486, 1.486, 1.486, 1.486, 1.486, 1.486, 1.486]"
860,[2.063]
1884,"[1.038, 1.038, 1.038, 1.038, 1.038, 1.038, 1.038, 1.038, 1.038, 1.038]"
3372,[2.667]
106,[4.648]
1400,[6.603]
3183,"[1.033, 1.033, 1.033, 1.033, 1.033, 1.033, 1.033, 1.033, 1.033, 1.033]"
3529,"[0.617, 0.617, 0.617, 0.617, 0.617, 0.617, 0.617, 0.617, 0.617, 0.617]"
2625,[3.37]
101,[5.16]
467,"[1.898, 1.898, 1.898, 1.898, 1.898, 1.898, 1.898, 1.898, 1.898, 1.898]"
135,"[2.366, 2.366, 2.366, 2.366, 2.366, 2.366, 2.366, 2.366, 2.366, 2.366]"
1441,[3.064]
3033,"[2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05]"
3901,[0.549]
3530,[0.777]
2474,[3.43]
3147,"[2.036, 1.745, 1.745, 1.745, 1.745, 1.559]"
3744,[0.4]
2810,"[3.283, 3.283, 4.261, 3.283, 3.283, 3.283, 3.283, 3.738, 3.738, 3.283]"
4290,[0.881]
3899,[6.506]
1955,"[2.455, 2.455, 2.455, 2.455, 2.455, 2.455, 2.413]"
2956,"[5.059, 5.059, 6.397, 5.059, 5.059, 5.059, 5.059, 5.059, 5.059, 5.059]"
1972,"[0.904, 0.904, 0.904, 0.904, 0.904, 0.904, 0.904, 0.904, 1.071, 0.904]"
4611,[6.391]
2236,[2.631]
4350,[2.944]
2521,[2.851]
2289,"[3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32, 3.32]"
1724,"[2.618, 2.618, 2.974, 2.618, 2.618, 2.618, 2.618, 2.618, 2.618, 2.618]"
2973,"[1.612, 1.612, 1.612, 1.813, 1.612, 1.612, 1.612, 1.612, 1.612, 1.542]"
2973,"[1.612, 1.612, 1.612, 1.813, 1.612, 1.612, 1.612, 1.612, 1.612, 1.542]"
4060,[0.347]
2264,"[2.722, 2.722, 2.722, 2.722, 2.722, 2.722, 2.722, 2.722, 2.722, 2.722]"
82,"[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]"
4676,[0.992]
905,[0.49]
3550,"[7.093, 7.093, 7.093, 7.093, 7.093, 7.093, 7.093, 6.478]"
4890,[2.801]
1823,[1.55]
1088,[3.341]
2049,[3.996]
2036,"[0.776, 0.776, 0.776, 0.776, 0.776, 0.976, 0.776, 0.776, 0.776, 0.776]"
1017,"[8.195, 7.781, 7.781, 7.781, 7.781, 7.781, 7.781, 7.781, 7.781, 7.781]"
2563,[1.743]
4859,"[1.741, 1.741, 1.741, 1.741, 1.741, 1.671]"
3435,[1.592]
2254,"[0.572, 0.572, 0.572, 0.572, 0.572, 0.572, 0.572, 0.572, 0.638, 0.572]"
3553,[6.378]
4895,[0.876]
1053,"[0.474, 0.474, 0.474, 0.474, 0.474, 0.474, 0.474, 0.474, 0.822, 0.474]"
2796,[1.696]
4884,"[0.798, 0.798, 0.798, 0.798, 0.798, 0.798, 0.798, 0.798, 0.798, 0.798]"
4435,[0.853]
2727,[6.44]
3800,"[0.932, 0.932, 0.994, 0.932, 0.932, 0.932, 0.932, 0.932, 0.932, 0.932]"
768,[6.4]
805,[2.827]
3670,[2.093]
3514,[1.938]
4544,[2.791]
4267,"[0.513, 0.544, 0.513, 0.513, 0.513, 0.513, 0.513, 0.513, 0.513, 0.513]"
1473,[6.439]
3248,[0.557]
3731,"[5.628, 5.146, 5.628, 5.628, 5.628, 5.628, 5.628, 5.628, 5.628, 5.628]"
4371,[1.264]
1914,[0.611]
4064,[2.304]
1299,[3.572]
429,"[2.309, 2.309, 2.309, 2.309, 2.309, 2.309, 2.309, 2.309, 2.309, 2.309]"
4782,[0.82]
2088,[0.83]
2859,[1.25]
399,"[1.706, 1.686]"
3728,[1.944]
3705,[5.315]
1093,"[1.776, 1.776, 1.776, 1.776, 1.776, 1.776, 1.776, 1.776, 1.776, 1.776]"
3391,[1.562]
4207,[1.597]
426,[4.558]
2809,"[0.499, 0.471]"
1220,[5.819]
1509,"[6.839, 5.158]"
3894,[6.554]
2700,"[0.646, 0.582, 0.582, 0.582, 0.613, 0.582, 0.582, 0.582, 0.582, 0.582]"
1801,"[2.145, 2.145, 2.354, 2.145, 2.145, 2.273, 2.145, 2.145, 2.145, 2.145]"
4353,"[1.124, 1.292, 1.124, 1.124, 1.124, 1.124, 1.124, 1.124, 1.124, 1.056]"
4353,"[1.124, 1.292, 1.124, 1.124, 1.124, 1.124, 1.124, 1.124, 1.124, 1.056]"
3615,[0.405]
2227,[4.648]
2968,[1.113]
1615,"[1.455, 1.455, 1.455, 1.455, 1.455, 1.451]"
4115,[6.353]
927,"[4.219, 4.038]"
3749,[6.572]
1201,"[0.603, 0.603, 0.603, 0.603, 0.603, 0.603, 0.603, 0.603, 0.603, 0.603]"
2507,[3.716]
3693,"[1.634, 1.634, 1.634, 1.634, 1.634, 1.634, 1.634, 1.703, 2.217, 1.703]"
70,[5.902]
833,[2.278]
1083,[3.544]
1066,[0.435]
481,[0.726]
397,[0.552]
3239,[1.853]
1352,[0.483]
3390,[4.688]
4107,[1.394]
3280,"[0.858, 0.857]"
3896,"[5.348, 5.348, 5.348, 5.348, 5.348, 5.348, 4.647, 5.348, 5.348, 5.348]"
2046,[0.472]
85,[1.344]
2251,[1.352]
3550,"[7.093, 7.049, 7.093, 7.093, 7.093, 7.093, 7.093, 7.093, 7.093, 7.093]"
4739,"[3.622, 3.622, 3.622, 3.622, 3.622, 3.622, 3.622, 3.622, 3.622, 3.622]"
1599,[2.417]
2613,[5.634]
1205,"[1.138, 1.138, 1.138, 1.138, 1.138, 1.068]"
2491,[6.527]
1629,[2.248]
1103,[6.308]
7,"[0.467, 0.467, 0.437]"
804,"[0.603, 0.55]"
590,[2.371]
1853,"[4.981, 4.981, 4.981, 4.981, 4.981, 4.981, 4.981, 4.981, 4.981, 4.981]"
969,"[5.746, 5.686]"
613,[0.414]
2010,"[5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824, 5.824]"
4678,"[1.825, 3.3, 1.106]"
4123,"[1.138, 0.888]"
410,[3.588]
4030,[2.727]
725,"[0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
4281,"[1.42, 1.42, 1.176]"
2792,"[1.077, 1.077, 1.077, 1.077, 1.077, 1.077, 1.077, 1.077, 1.077, 1.077]"
2550,[1.041]
2981,[1.083]
3308,[1.406]
3988,[6.558]
3533,[2.069]
1965,"[0.873, 0.873, 0.873, 0.873, 0.873, 0.873, 0.873, 0.873, 0.873, 0.873]"
1786,[2.58]
4247,[2.342]
192,[4.643]
3972,"[8.936, 6.197]"
1464,[1.201]
2672,[6.407]
2503,[0.272]
1659,"[3.033, 3.033, 3.033, 3.033, 3.033, 3.033, 3.033, 3.033, 3.033, 3.033]"
3162,"[1.529, 1.529, 1.529, 1.529, 1.529, 1.529, 1.529, 1.529, 1.529, 1.529]"
314,[3.525]
3482,"[4.735, 4.735, 4.735, 4.735, 4.735, 4.735, 4.735, 4.735, 4.735, 4.735]"
3016,[5.907]
3885,[2.656]
3997,[1.327]
4132,[1.764]
