log_row,log_esb
2007,[1.01]
2128,[6.7]
2649,[0.59]
1962,[2.43]
3457,[1.27]
774,[3.95]
2661,[6.64]
2563,[1.74]
3238,[2.54]
1707,[1.28]
631,[1.15]
4897,[0.63]
607,"[1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75]"
3342,[0.54]
4382,[2.45]
2230,[6.5]
3632,[4.85]
2397,[1.04]
3292,[6.23]
3866,"[2.47, 2.47, 2.47, 2.47, 2.83, 2.47, 2.47, 2.47, 4.48, 2.47]"
721,"[0.41, 0.39]"
3150,"[2.35, 2.35, 2.35, 2.35, 2.35, 2.35, 2.35, 2.35, 2.35, 2.35]"
2755,[1.51]
3330,[6.67]
1588,[2.0]
4728,[6.49]
282,[1.49]
