LAM,D,N_0,N_n,esb,p_id
13.624,14.62,13.054,17,"[6.2133, 7.3277, 6.7025, 6.272]","[5.9153e-08, 0.1842, 0.36465, 0.45568]"
11.324,36.34,9.061,18,"[6.5547, 7.853, 7.3122, 7.1253]","[0.00030521, 0.32242, 0.47199, 0.54712]"
18.094,22.48,8.889,19,"[6.56607, 8.00582, 10.0181, 11.1579]","[5.13877e-14, 0.00119488, 0.150532, 0.269574]"
9.894,30.27,6.47,9,"[2.1096, 1.4211, 1.3965, 1.4757]","[0.036139, 0.42247, 0.55486, 0.62148]"
13.614,33.02,8.314,15,"[5.8242, 6.529, 5.9336, 5.6993]","[6.2372e-08, 0.18539, 0.36546, 0.45599]"
10.828,15.11,8.011,16,"[5.8838, 4.8155, 3.9719, 3.7688]","[0.0019736, 0.35582, 0.50092, 0.57406]"
6.357,18.8,14.856,6,"[0.60803, 0.60446, 0.66479, 0.73333]","[0.39182, 0.64548, 0.73192, 0.77634]"
19.571,35.66,16.916,5,"[1.2544, 1.5535, 1.7598, 1.8944]","[6.062e-16, 3.0981e-05, 0.077488, 0.20363]"
18.714,16.23,18.365,11,"[3.8509, 4.7055, 4.7642, 4.5524]","[1.1057e-14, 0.00034321, 0.12653, 0.25067]"
4.239,7.79,16.311,17,"[2.5157, 1.9527, 1.9915, 2.1261]","[0.58834, 0.75861, 0.81585, 0.84477]"
2.14,5.93,13.124,5,"[0.25372, 0.26277, 0.30125, 0.35124]","[0.83051, 0.91556, 0.94261, 0.95557]"
9.213,18.33,8.062,5,"[0.4927, 0.43326, 0.45403, 0.48608]","[0.12158, 0.49397, 0.62076, 0.68586]"
8.558,11.62,5.067,11,"[2.4403, 1.5418, 1.4752, 1.5327]","[0.16018, 0.50422, 0.61993, 0.67822]"
13.31,23.31,16.969,8,"[2.1905, 2.0859, 2.0127, 2.1188]","[2.1889e-07, 0.20825, 0.38336, 0.47122]"
7.205,36.99,5.612,18,"[6.1943, 4.172, 3.7994, 3.8548]","[0.28788, 0.57396, 0.67007, 0.71833]"
2.32,9.93,8.59,10,"[0.70958, 0.72378, 0.76219, 0.80139]","[0.79058, 0.88478, 0.91767, 0.93489]"
16.738,32.9,12.685,13,"[5.3053, 6.4393, 6.5371, 6.4937]","[2.5829e-12, 0.017795, 0.21701, 0.32752]"
9.107,23.1,18.447,16,"[6.3659, 5.4017, 4.9898, 5.0694]","[0.098671, 0.45712, 0.57724, 0.63744]"
9.608,29.11,18.726,16,"[6.5074, 6.4701, 6.1555, 6.3057]","[0.052183, 0.42575, 0.55186, 0.615]"
13.127,25.57,9.238,11,"[3.538, 3.093, 2.6707, 2.6346]","[4.1464e-07, 0.22026, 0.39536, 0.48331]"
12.016,17.0,10.955,6,"[0.83249, 0.73146, 0.73507, 0.7819]","[5.5604e-05, 0.3096, 0.47196, 0.55403]"
18.682,28.41,15.52,16,"[6.31011, 7.68899, 9.32948, 10.3688]","[1.0578e-14, 0.00032057, 0.123336, 0.246033]"
8.136,32.31,13.077,14,"[4.9742, 3.5872, 3.4614, 3.6297]","[0.19588, 0.51698, 0.62427, 0.67808]"
18.216,17.11,18.592,15,"[5.9025, 7.196, 8.191, 8.4307]","[3.7967e-14, 0.00094156, 0.14618, 0.26641]"
5.184,16.37,9.567,17,"[3.2695, 2.267, 2.2296, 2.345]","[0.49277, 0.70086, 0.77078, 0.80601]"
14.238,29.18,12.623,15,"[5.9426, 7.0302, 6.7772, 6.628]","[7.0891e-09, 0.14727, 0.33495, 0.42924]"
7.614,10.68,14.447,12,"[2.5362, 1.6623, 1.61, 1.6825]","[0.25349, 0.5593, 0.66208, 0.71386]"
2.342,30.24,12.369,8,"[0.67683, 0.75834, 0.84219, 0.9177]","[0.78289, 0.87739, 0.91081, 0.92858]"
17.849,15.9,7.62,11,"[3.2125, 3.9216, 3.4855, 3.1912]","[1.3e-13, 0.0025595, 0.17162, 0.29185]"
11.841,24.99,13.343,12,"[4.4187, 3.6326, 3.2425, 3.2506]","[4.6897e-05, 0.29552, 0.45253, 0.53129]"
13.039,13.48,10.838,19,"[6.5399, 8.2014, 7.7627, 7.2712]","[4.7568e-07, 0.21881, 0.39131, 0.47841]"
6.946,17.6,19.026,8,"[1.2198, 1.1027, 1.2016, 1.3348]","[0.32209, 0.59671, 0.68907, 0.73582]"
12.393,21.7,8.543,13,"[4.6198, 3.8753, 3.2464, 3.1281]","[5.7974e-06, 0.26302, 0.42876, 0.51215]"
1.196,16.06,12.57,17,"[1.2043, 1.2446, 1.3104, 1.3772]","[0.89319, 0.94175, 0.95874, 0.96761]"
7.087,34.08,11.623,8,"[1.3723, 1.2555, 1.3811, 1.5458]","[0.305, 0.58378, 0.67747, 0.72485]"
15.816,29.11,6.13,11,"[3.5001, 3.9565, 3.3098, 3.1461]","[4.8886e-11, 0.059341, 0.26703, 0.373]"
17.008,27.36,11.229,19,"[6.62741, 8.13626, 10.3805, 11.4988]","[1.1069e-12, 0.0108346, 0.201704, 0.313634]"
9.282,27.54,11.862,5,"[0.67144, 0.63857, 0.70746, 0.79148]","[0.095651, 0.46216, 0.58631, 0.64955]"
19.827,39.26,9.84,6,"[1.3444, 1.6631, 1.8397, 1.8975]","[5.805e-16, 2.8293e-05, 0.076939, 0.206]"
17.261,38.97,12.749,9,"[3.1907, 3.8791, 3.74, 3.7772]","[5.7882e-13, 0.0075432, 0.19342, 0.30673]"
8.461,11.94,16.347,14,"[4.3433, 2.6635, 2.43, 2.4709]","[0.16502, 0.50278, 0.61643, 0.67357]"
0.728,22.01,14.745,15,"[0.93406, 0.96366, 1.0577, 1.1936]","[0.94008, 0.96958, 0.97934, 0.98407]"
7.161,39.86,9.336,10,"[2.1337, 1.7543, 1.8618, 2.0492]","[0.29609, 0.57824, 0.6727, 0.72028]"
2.56,7.69,19.31,5,"[0.26661, 0.26706, 0.29155, 0.32891]","[0.78996, 0.89402, 0.92817, 0.94464]"
6.11,21.07,14.488,16,"[4.0578, 2.7902, 2.7311, 2.8789]","[0.39882, 0.642, 0.72348, 0.76443]"
1.016,37.37,13.773,19,"[1.7975, 2.0724, 2.3525, 2.606]","[0.90465, 0.94531, 0.95958, 0.96713]"
2.184,26.12,13.531,9,"[0.73102, 0.80239, 0.88074, 0.95208]","[0.79903, 0.88717, 0.91823, 0.93467]"
5.849,27.65,5.009,8,"[0.82595, 0.75525, 0.80432, 0.87113]","[0.44131, 0.67621, 0.75585, 0.79654]"
16.766,36.53,11.211,11,"[4.2251, 5.0917, 4.8149, 4.7476]","[2.4742e-12, 0.01759, 0.2171, 0.32775]"
12.429,17.61,14.16,14,"[5.2633, 4.8368, 4.1057, 3.9405]","[4.8591e-06, 0.25893, 0.42442, 0.50765]"
5.518,30.4,12.683,5,"[0.53322, 0.59918, 0.69221, 0.78539]","[0.46577, 0.68474, 0.76038, 0.79976]"
17.942,11.53,11.691,19,"[6.51937, 7.9513, 9.80237, 10.6169]","[7.83593e-14, 0.00167241, 0.157863, 0.276112]"
12.747,37.26,6.132,5,"[0.71432, 0.72628, 0.76609, 0.8395]","[2.7229e-06, 0.25489, 0.42451, 0.51027]"
3.292,10.81,8.668,14,"[1.3851, 1.2872, 1.3707, 1.4814]","[0.68706, 0.81928, 0.86412, 0.88703]"
12.394,28.12,7.22,16,"[6.0158, 6.2936, 5.4501, 5.1602]","[5.3334e-06, 0.25933, 0.42395, 0.50683]"
11.455,28.54,12.214,19,"[6.6568, 8.5112, 8.1338, 7.9207]","[0.00018457, 0.31414, 0.46535, 0.54136]"
13.833,28.7,18.099,19,"[6.71754, 9.16525, 10.8856, 11.6023]","[2.76756e-08, 0.170145, 0.351524, 0.44256]"
6.469,21.29,17.641,5,"[0.57349, 0.62445, 0.71836, 0.81647]","[0.3709, 0.62666, 0.71428, 0.75949]"
13.703,30.23,18.383,10,"[3.9225, 4.0284, 3.8428, 3.9791]","[4.6864e-08, 0.18026, 0.35949, 0.4492]"
15.869,29.63,12.574,12,"[4.6477, 5.4525, 5.0183, 4.8949]","[3.7145e-11, 0.054009, 0.25964, 0.36469]"
5.619,26.21,9.591,15,"[3.0044, 2.1808, 2.1903, 2.3338]","[0.44956, 0.67387, 0.74908, 0.78694]"
7.18,11.7,15.391,9,"[1.2459, 0.98909, 1.0196, 1.0937]","[0.30407, 0.59257, 0.68968, 0.73885]"
12.732,37.22,14.036,8,"[2.5187, 2.3866, 2.3835, 2.5538]","[1.6001e-06, 0.23885, 0.40508, 0.48848]"
10.784,14.66,13.127,6,"[0.83198, 0.67673, 0.69356, 0.74316]","[0.0048526, 0.38494, 0.53085, 0.60477]"
16.197,39.0,17.735,8,"[2.9856, 3.5476, 3.4943, 3.6729]","[1.187e-11, 0.036768, 0.23936, 0.34476]"
1.282,33.0,12.592,7,"[0.50876, 0.56704, 0.65547, 0.76347]","[0.89042, 0.94336, 0.96116, 0.96984]"
16.897,9.95,7.367,8,"[1.4608, 1.754, 1.4938, 1.4501]","[2.9974e-12, 0.020466, 0.23009, 0.34514]"
15.267,39.75,5.291,7,"[1.4485, 1.5951, 1.495, 1.5513]","[3.4503e-10, 0.096301, 0.29824, 0.39989]"
10.95,31.68,14.503,11,"[4.189, 3.3358, 3.189, 3.3284]","[0.0013348, 0.34745, 0.49132, 0.56342]"
17.478,13.29,10.334,15,"[5.5056, 6.7076, 6.8221, 6.4374]","[3.0448e-13, 0.0046627, 0.18255, 0.299]"
14.07,31.67,12.878,15,"[6.006, 7.1499, 6.9888, 6.9014]","[1.2562e-08, 0.15724, 0.34253, 0.43555]"
13.983,33.54,18.31,19,"[6.73957, 9.22911, 11.3232, 12.3551]","[1.64105e-08, 0.161044, 0.344218, 0.436098]"
5.316,33.56,16.599,18,"[5.6523, 4.4622, 4.5728, 4.9493]","[0.47508, 0.68388, 0.75355, 0.78852]"
6.227,30.8,9.297,16,"[4.1961, 2.8741, 2.8041, 2.9517]","[0.38698, 0.63468, 0.71767, 0.75936]"
9.476,11.23,6.817,10,"[2.275, 1.4111, 1.3429, 1.392]","[0.071336, 0.45074, 0.57894, 0.64353]"
5.83,36.7,17.828,9,"[2.0165, 2.049, 2.3536, 2.7057]","[0.4211, 0.64747, 0.72375, 0.76239]"
4.752,22.68,7.213,14,"[1.9429, 1.5641, 1.6149, 1.7338]","[0.53953, 0.73024, 0.7944, 0.82684]"
15.558,7.32,10.757,13,"[4.4296, 4.9836, 4.0915, 3.7511]","[1.0299e-10, 0.072023, 0.27795, 0.38279]"
5.689,13.02,10.539,17,"[3.7148, 2.4417, 2.3496, 2.4468]","[0.44181, 0.67009, 0.74683, 0.78547]"
8.613,11.44,19.923,7,"[1.0132, 0.83884, 0.88375, 0.96176]","[0.16263, 0.50641, 0.62208, 0.68065]"
0.24,33.7,9.084,7,"[0.62561, 1.1079, 1.5919, 2.0756]","[0.98485, 0.99206, 0.99443, 0.99561]"
5.447,36.92,13.271,5,"[0.66544, 0.78847, 0.94284, 1.0981]","[0.46001, 0.6747, 0.74884, 0.7873]"
11.356,19.92,18.918,9,"[2.7119, 2.1506, 2.1026, 2.2261]","[0.00032245, 0.32595, 0.47558, 0.55068]"
15.114,30.38,8.415,7,"[1.3932, 1.5118, 1.4136, 1.4648]","[5.9694e-10, 0.10674, 0.30734, 0.40825]"
5.496,10.44,10.335,19,"[4.5803, 2.9315, 2.7738, 2.8659]","[0.45971, 0.68001, 0.75411, 0.7914]"
15.924,29.42,6.312,19,"[6.5821, 8.25402, 9.88491, 10.2567]","[2.87355e-11, 0.0490256, 0.25332, 0.358538]"
17.536,19.27,11.781,5,"[0.62296, 0.78565, 0.78126, 0.81835]","[6.6421e-13, 0.0093314, 0.20783, 0.32621]"
8.024,17.83,5.689,17,"[5.7503, 3.5982, 3.1439, 3.1188]","[0.20686, 0.52681, 0.63483, 0.68918]"
15.077,35.62,5.168,9,"[2.3657, 2.494, 2.1755, 2.1658]","[5.741e-10, 0.10484, 0.30527, 0.40606]"
13.802,21.37,10.799,17,"[6.2635, 7.5522, 7.148, 6.7809]","[3.1549e-08, 0.17324, 0.3557, 0.44766]"
9.953,25.56,9.521,11,"[3.3708, 2.1437, 2.0082, 2.0742]","[0.029542, 0.41428, 0.54725, 0.61406]"
2.548,12.37,5.465,15,"[1.331, 1.2987, 1.3927, 1.5029]","[0.76047, 0.86284, 0.89776, 0.91574]"
14.28,7.81,17.343,10,"[2.5999, 2.4569, 2.0529, 1.9958]","[8.335e-09, 0.15444, 0.34657, 0.44328]"
18.622,32.84,7.704,14,"[5.4524, 6.6486, 7.3112, 7.2863]","[1.2964e-14, 0.00038444, 0.12787, 0.251]"
19.137,10.11,18.153,5,"[0.58735, 0.74629, 0.78546, 0.80832]","[1.0007e-14, 0.0003791, 0.13558, 0.26516]"
16.246,28.14,14.726,6,"[1.2943, 1.55, 1.5298, 1.6274]","[1.2391e-11, 0.03877, 0.2444, 0.35138]"
3.875,33.71,9.7,18,"[3.0454, 2.5201, 2.6497, 2.8883]","[0.62173, 0.77566, 0.82727, 0.85329]"
2.972,25.67,9.434,14,"[1.3762, 1.3366, 1.447, 1.5788]","[0.71766, 0.83655, 0.87693, 0.8976]"
14.613,33.01,5.921,15,"[5.732, 6.6543, 6.1115, 5.7986]","[2.0269e-09, 0.12519, 0.3184, 0.41575]"
3.091,13.33,7.989,14,"[1.33, 1.2582, 1.3437, 1.4519]","[0.70723, 0.83139, 0.87357, 0.89518]"
6.94,26.63,19.31,12,"[3.4485, 2.7949, 2.9371, 3.224]","[0.31482, 0.58677, 0.6776, 0.72325]"
18.65,31.46,11.809,12,"[4.7063, 5.7428, 6.0865, 5.9984]","[1.234e-14, 0.00037325, 0.12751, 0.25067]"
12.499,7.43,15.267,13,"[4.4561, 3.6508, 2.9941, 2.8548]","[3.9596e-06, 0.25754, 0.42542, 0.51001]"
13.311,35.3,7.045,17,"[6.3423, 7.7087, 7.3944, 7.1322]","[1.793e-07, 0.20271, 0.37846, 0.46689]"
19.695,14.53,9.496,10,"[2.605, 3.1948, 3.2785, 2.9917]","[1.0505e-15, 4.3437e-05, 0.086095, 0.21782]"
6.995,28.76,12.353,19,"[6.8626, 4.9414, 4.5448, 4.6306]","[0.30823, 0.58514, 0.67801, 0.7246]"
16.26,12.72,13.183,6,"[0.80831, 0.95405, 0.8847, 0.9082]","[2.8823e-11, 0.054133, 0.26994, 0.38055]"
12.429,27.35,9.738,8,"[1.8171, 1.5424, 1.4773, 1.5463]","[6.7105e-06, 0.26795, 0.43343, 0.51658]"
11.939,16.3,16.897,19,"[6.6152, 8.3394, 7.8635, 7.5323]","[2.9078e-05, 0.2851, 0.44292, 0.52238]"
7.359,27.61,12.733,19,"[7.0362, 5.229, 4.7521, 4.8033]","[0.27189, 0.56305, 0.66076, 0.70979]"
10.809,37.87,14.388,13,"[5.4625, 4.9579, 4.719, 4.8722]","[0.0021179, 0.35413, 0.49584, 0.56679]"
13.035,38.66,16.621,10,"[4.0838, 4.0906, 3.9893, 4.1856]","[5.0289e-07, 0.21948, 0.38947, 0.47456]"
6.055,39.43,9.236,5,"[0.57622, 0.64211, 0.74483, 0.85022]","[0.40997, 0.64932, 0.73156, 0.77411]"
12.86,33.88,6.973,14,"[5.3742, 5.309, 4.6023, 4.4333]","[9.7041e-07, 0.23216, 0.40282, 0.48859]"
14.475,35.26,6.02,6,"[0.99555, 1.0604, 1.0436, 1.1082]","[5.6393e-09, 0.14873, 0.34125, 0.43813]"
