LAM,D,N_0,N_n,esb,p_id
4.934,17.86,13.112,7,"[0.61267, 0.60955, 0.65917, 0.71442]","[0.53546, 0.73369, 0.80166, 0.83684]"
17.361,23.1,13.918,5,"[0.76918, 0.96317, 0.9808, 1.0449]","[6.3242e-13, 0.0089458, 0.20182, 0.31733]"
2.856,21.2,14.701,8,"[0.64528, 0.69328, 0.75831, 0.81949]","[0.73596, 0.85099, 0.8912, 0.9124]"
10.339,33.77,9.58,19,"[6.7015, 7.8465, 7.1376, 6.9344]","[0.0096724, 0.38184, 0.5186, 0.58731]"
14.055,34.9,10.563,17,"[6.4279, 8.148, 8.5412, 8.534]","[1.299e-08, 0.15745, 0.34235, 0.43527]"
11.063,35.17,5.57,5,"[0.66576, 0.61344, 0.65563, 0.71984]","[0.0017451, 0.36238, 0.51073, 0.58602]"
16.909,23.07,13.45,13,"[4.9931, 6.0507, 5.841, 5.6141]","[1.6018e-12, 0.013683, 0.21015, 0.3224]"
16.046,10.91,6.598,19,"[6.5131, 8.1095, 9.3707, 9.4019]","[1.9795e-11, 0.043186, 0.24791, 0.35423]"
13.224,10.45,7.673,19,"[6.5271, 8.1816, 7.764, 7.251]","[2.4313e-07, 0.20765, 0.3826, 0.47096]"
11.129,7.11,5.949,7,"[1.0885, 0.8262, 0.81202, 0.8527]","[0.001337, 0.36271, 0.51394, 0.59036]"
2.945,24.38,13.426,18,"[2.2443, 2.0685, 2.2346, 2.4565]","[0.71574, 0.83295, 0.87243, 0.89244]"
13.255,11.33,7.689,14,"[5.0027, 4.7211, 3.8371, 3.5761]","[2.3679e-07, 0.20974, 0.38713, 0.47662]"
13.64,31.03,18.038,11,"[4.5384, 4.7549, 4.5203, 4.6364]","[5.8058e-08, 0.18389, 0.36252, 0.45191]"
17.834,20.02,11.616,9,"[2.2782, 2.79, 2.5338, 2.4259]","[1.4876e-13, 0.0029098, 0.17481, 0.29432]"
11.635,28.1,16.167,19,"[6.7015, 9.0651, 9.2142, 9.2319]","[9.2599e-05, 0.30291, 0.456, 0.53284]"
8.751,16.47,7.937,18,"[6.5165, 4.665, 3.9386, 3.8151]","[0.13377, 0.48108, 0.59857, 0.65772]"
11.505,10.95,6.364,15,"[5.4889, 4.4995, 3.6892, 3.4925]","[0.00016145, 0.31559, 0.46987, 0.54764]"
9.9,22.59,9.733,16,"[5.9951, 4.6117, 3.9454, 3.8441]","[0.030567, 0.41166, 0.54391, 0.61042]"
6.421,21.03,15.472,10,"[1.6396, 1.3804, 1.4664, 1.6076]","[0.37315, 0.62794, 0.71344, 0.75661]"
19.96,34.1,16.809,5,"[1.2137, 1.5035, 1.7188, 1.8428]","[2.3895e-16, 1.3207e-05, 0.061976, 0.18949]"
18.401,27.77,17.67,5,"[1.0791, 1.3435, 1.4584, 1.5712]","[1.7086e-14, 0.00058686, 0.13614, 0.25651]"
13.92,24.41,14.381,10,"[3.2596, 3.1759, 2.8434, 2.8599]","[2.4458e-08, 0.17094, 0.35508, 0.44742]"
2.769,22.08,13.28,10,"[0.83955, 0.88126, 0.96356, 1.0459]","[0.74196, 0.85305, 0.89144, 0.91148]"
3.994,21.29,12.562,7,"[0.57756, 0.6006, 0.65428, 0.70847]","[0.62744, 0.78803, 0.84362, 0.87268]"
2.703,36.55,6.229,18,"[2.0305, 1.9115, 2.0677, 2.2675]","[0.74062, 0.84842, 0.88482, 0.90333]"
16.044,37.62,12.151,5,"[1.0079, 1.2208, 1.2695, 1.3893]","[1.7627e-11, 0.044538, 0.24836, 0.35383]"
1.497,6.41,12.428,15,"[1.0846, 1.1181, 1.1822, 1.2456]","[0.86502, 0.92569, 0.94687, 0.95796]"
12.142,15.59,12.952,14,"[5.1525, 4.4424, 3.709, 3.546]","[1.4474e-05, 0.27706, 0.43929, 0.52095]"
14.943,7.28,5.605,10,"[2.5294, 2.5546, 2.0883, 2.0038]","[9.3322e-10, 0.11453, 0.31568, 0.41711]"
4.117,18.88,9.119,15,"[1.9037, 1.5906, 1.6566, 1.783]","[0.60259, 0.76788, 0.82354, 0.85174]"
0.302,25.19,7.546,12,"[0.70116, 1.0575, 1.4445, 1.8363]","[0.97982, 0.98964, 0.99278, 0.99433]"
3.565,9.69,6.539,17,"[2.0978, 1.7731, 1.8505, 1.9923]","[0.65638, 0.79952, 0.84774, 0.87218]"
8.95,32.2,13.201,12,"[4.1806, 2.9984, 2.9307, 3.0972]","[0.11581, 0.46856, 0.58643, 0.64556]"
2.641,12.05,7.088,15,"[1.3566, 1.3136, 1.4078, 1.5202]","[0.75117, 0.85725, 0.8934, 0.91198]"
16.795,14.98,17.931,18,"[6.48645, 7.97161, 9.64502, 10.1741]","[2.08114e-12, 0.0156424, 0.212271, 0.323098]"
1.802,30.28,5.972,15,"[1.1653, 1.1976, 1.2829, 1.3688]","[0.83446, 0.90709, 0.93226, 0.9454]"
19.533,7.92,13.935,12,"[3.8205, 4.6695, 4.8522, 4.4227]","[1.3649e-15, 5.3683e-05, 0.089309, 0.21944]"
6.473,28.08,14.177,14,"[3.6691, 2.7115, 2.7422, 2.9449]","[0.36252, 0.61848, 0.70406, 0.74706]"
0.99,35.94,11.556,9,"[0.64124, 0.70717, 0.81473, 0.94775]","[0.91646, 0.95706, 0.97061, 0.9772]"
6.438,36.57,12.741,10,"[2.0728, 1.8398, 2.0075, 2.2425]","[0.36634, 0.6188, 0.70343, 0.74611]"
6.189,22.88,14.656,13,"[2.7214, 2.0633, 2.114, 2.2802]","[0.39285, 0.63859, 0.72088, 0.76229]"
2.975,13.99,7.947,12,"[1.0195, 1.0023, 1.0726, 1.153]","[0.72165, 0.84137, 0.88236, 0.90354]"
11.74,30.12,6.071,8,"[1.6996, 1.3363, 1.2885, 1.3505]","[9.7378e-05, 0.31278, 0.46992, 0.54896]"
15.484,6.12,19.877,5,"[0.53469, 0.61195, 0.59501, 0.62305]","[5.0185e-10, 0.10956, 0.31976, 0.42617]"
1.376,6.47,18.672,14,"[0.96666, 0.99474, 1.0425, 1.0946]","[0.87795, 0.93395, 0.95355, 0.96375]"
15.598,19.01,11.604,17,"[6.2491, 7.716, 8.1161, 7.8911]","[8.092e-11, 0.06667, 0.27004, 0.37362]"
10.169,34.07,11.926,8,"[2.1147, 1.6438, 1.7021, 1.8549]","[0.01789, 0.39702, 0.53073, 0.59799]"
5.625,12.41,14.974,5,"[0.36348, 0.35952, 0.37878, 0.39992]","[0.48248, 0.71127, 0.79089, 0.83262]"
5.806,30.67,19.027,7,"[1.2814, 1.4074, 1.658, 1.9288]","[0.42213, 0.64818, 0.7249, 0.764]"
11.341,16.72,11.447,8,"[1.5922, 1.1854, 1.1424, 1.1943]","[0.0004704, 0.34039, 0.49309, 0.56999]"
11.529,21.68,8.398,7,"[1.1848, 0.95056, 0.9399, 0.99406]","[0.00027026, 0.33264, 0.4879, 0.5662]"
10.894,22.5,7.766,13,"[4.5935, 3.1786, 2.7415, 2.7032]","[0.0016586, 0.35498, 0.50105, 0.5745]"
9.721,24.43,17.306,7,"[1.5792, 1.3233, 1.4215, 1.5774]","[0.046982, 0.42323, 0.55101, 0.61544]"
16.821,7.69,6.422,13,"[4.4246, 5.3193, 4.617, 4.2058]","[2.1916e-12, 0.016363, 0.21714, 0.33019]"
18.679,31.63,10.689,16,"[6.2107, 7.5686, 9.0328, 9.782]","[1.0722e-14, 0.00032434, 0.1237, 0.24659]"
16.027,26.15,7.247,6,"[0.89446, 1.0455, 0.98608, 1.0235]","[4.7174e-11, 0.062124, 0.27428, 0.38235]"
19.099,37.26,19.142,7,"[2.4802, 3.0398, 3.3129, 3.4683]","[2.8975e-15, 0.00011521, 0.10247, 0.2262]"
17.998,11.04,13.354,17,"[6.1676, 7.5204, 8.6631, 8.8063]","[6.838e-14, 0.0015058, 0.15613, 0.27522]"
18.457,18.09,12.807,7,"[1.2813, 1.5887, 1.5489, 1.5347]","[3.4401e-14, 0.00096672, 0.15204, 0.27595]"
10.624,7.31,10.497,17,"[6.1749, 5.3558, 4.4124, 4.1608]","[0.0039636, 0.36735, 0.50959, 0.58132]"
16.27,7.39,17.441,7,"[1.1046, 1.2861, 1.1382, 1.1413]","[2.2881e-11, 0.049309, 0.26448, 0.37518]"
15.137,10.12,6.535,10,"[2.5285, 2.6078, 2.1236, 2.0319]","[4.9655e-10, 0.10277, 0.3063, 0.40904]"
1.972,13.57,7.035,11,"[0.77097, 0.78944, 0.8297, 0.87118]","[0.82309, 0.90324, 0.93126, 0.94592]"
15.844,34.08,12.811,19,"[6.68657, 8.46839, 10.8411, 12.0042]","[3.66384e-11, 0.0529367, 0.256527, 0.360736]"
5.174,16.85,13.122,12,"[1.6035, 1.3352, 1.3952, 1.5071]","[0.49923, 0.70652, 0.77628, 0.81159]"
9.315,36.74,12.761,6,"[1.2158, 1.1339, 1.2667, 1.4341]","[0.080834, 0.44343, 0.56581, 0.62777]"
12.249,16.53,11.013,9,"[2.0881, 1.6217, 1.4806, 1.5097]","[1.346e-05, 0.28139, 0.44623, 0.52914]"
9.622,24.08,19.78,15,"[6.1279, 5.4439, 5.116, 5.2414]","[0.051265, 0.42566, 0.55216, 0.61552]"
1.663,31.44,10.914,8,"[0.5757, 0.61946, 0.66945, 0.73179]","[0.85363, 0.92191, 0.94591, 0.95813]"
6.181,25.07,16.459,5,"[0.59868, 0.66853, 0.7783, 0.89144]","[0.39574, 0.63969, 0.72341, 0.76666]"
6.082,38.85,19.477,9,"[2.3366, 2.383, 2.7447, 3.1628]","[0.39418, 0.62956, 0.70886, 0.74902]"
3.387,12.43,7.223,17,"[2.0021, 1.7298, 1.815, 1.9575]","[0.67432, 0.81029, 0.85614, 0.8794]"
10.668,38.16,16.23,11,"[4.5721, 3.8987, 3.8596, 4.0982]","[0.0034955, 0.36176, 0.50091, 0.57063]"
19.003,19.42,19.125,16,"[6.25677, 7.62316, 9.17598, 10.1446]","[4.53792e-15, 0.000153394, 0.108416, 0.233136]"
1.293,18.77,6.127,19,"[1.4272, 1.4734, 1.5691, 1.6633]","[0.88235, 0.93457, 0.95274, 0.96224]"
11.034,14.61,13.724,15,"[5.5954, 4.5072, 3.7856, 3.6413]","[0.00094552, 0.3437, 0.49124, 0.5655]"
16.685,23.83,18.366,14,"[5.7665, 7.032, 7.5511, 7.655]","[2.9647e-12, 0.019053, 0.21871, 0.32873]"
15.368,10.44,19.661,13,"[4.7184, 5.3372, 4.5881, 4.306]","[1.8287e-10, 0.08212, 0.28518, 0.38797]"
17.36,33.51,9.791,14,"[5.58, 6.8007, 7.223, 7.1817]","[4.2082e-13, 0.0058563, 0.18735, 0.30215]"
14.095,5.83,17.37,8,"[1.4819, 1.3958, 1.2414, 1.2496]","[2.1433e-08, 0.17425, 0.36504, 0.46109]"
13.442,13.1,11.524,10,"[2.6024, 2.2415, 1.9128, 1.8826]","[1.5422e-07, 0.20594, 0.38696, 0.47804]"
18.801,31.56,6.223,17,"[6.2953, 7.671, 9.2037, 9.9736]","[7.7273e-15, 0.00024384, 0.11784, 0.24155]"
3.044,29.38,9.566,5,"[0.34277, 0.36452, 0.3917, 0.42495]","[0.72951, 0.85464, 0.89883, 0.92153]"
11.068,11.38,8.973,16,"[5.8737, 4.9412, 4.0597, 3.8338]","[0.00082364, 0.34118, 0.48947, 0.56424]"
12.889,37.74,5.205,13,"[4.8704, 4.5567, 3.926, 3.8116]","[8.9613e-07, 0.2314, 0.40263, 0.48865]"
12.489,11.45,5.268,5,"[0.52178, 0.48962, 0.49309, 0.52101]","[1.7247e-05, 0.2976, 0.46876, 0.55583]"
3.242,31.46,16.505,9,"[1.1623, 1.3479, 1.593, 1.8419]","[0.68223, 0.80977, 0.85346, 0.87597]"
17.057,26.32,8.153,11,"[3.5507, 4.2857, 3.7569, 3.5392]","[1.1612e-12, 0.011494, 0.20721, 0.32125]"
3.162,14.28,19.851,11,"[1.0489, 1.0757, 1.1858, 1.3049]","[0.7003, 0.82645, 0.86951, 0.89169]"
2.442,11.39,12.443,17,"[1.5839, 1.5215, 1.6304, 1.7634]","[0.76925, 0.86727, 0.90061, 0.9177]"
4.242,20.52,18.462,9,"[1.0639, 1.1108, 1.2572, 1.4173]","[0.58965, 0.75727, 0.81415, 0.84323]"
14.952,15.08,8.979,15,"[5.5087, 6.3193, 5.5357, 5.102]","[6.7126e-10, 0.10539, 0.30357, 0.40382]"
0.967,31.96,10.878,17,"[1.2449, 1.3239, 1.4094, 1.4992]","[0.91411, 0.95344, 0.96729, 0.97451]"
5.466,24.98,6.26,16,"[3.129, 2.1852, 2.1579, 2.2757]","[0.46495, 0.68407, 0.75766, 0.79472]"
16.951,9.85,7.178,6,"[0.74576, 0.91223, 0.8355, 0.84589]","[4.4282e-12, 0.026113, 0.24231, 0.35848]"
15.289,20.5,5.753,13,"[4.5136, 5.002, 4.1407, 3.8279]","[2.4035e-10, 0.087326, 0.29033, 0.39316]"
14.252,37.2,7.966,17,"[6.388, 8.0289, 8.3241, 8.2331]","[6.6256e-09, 0.14567, 0.33327, 0.42763]"
8.383,30.23,8.138,5,"[0.55455, 0.53414, 0.58629, 0.64854]","[0.19177, 0.52573, 0.63919, 0.69731]"
13.669,27.25,13.11,5,"[0.80672, 0.8712, 0.9187, 1.0103]","[7.2077e-08, 0.19154, 0.37197, 0.46304]"
19.898,15.22,15.595,18,"[6.4536, 7.85966, 9.53033, 10.9898]","[4.52173e-16, 1.91304e-05, 0.0674414, 0.196131]"
2.924,17.27,5.214,6,"[0.36585, 0.36516, 0.37866, 0.40104]","[0.7461, 0.8662, 0.90785, 0.92897]"
4.612,10.11,11.194,6,"[0.42848, 0.42328, 0.44364, 0.46625]","[0.57821, 0.76588, 0.83116, 0.86532]"
1.47,20.92,10.549,14,"[0.98609, 1.0165, 1.0695, 1.1237]","[0.86861, 0.92833, 0.94922, 0.96014]"
4.342,7.69,12.844,13,"[1.5042, 1.2963, 1.3585, 1.4633]","[0.58279, 0.75729, 0.81618, 0.84609]"
13.264,22.9,15.794,12,"[4.5501, 4.4097, 3.9186, 3.8795]","[2.3054e-07, 0.20846, 0.38385, 0.47181]"
7.086,8.35,13.217,19,"[6.2496, 3.922, 3.4547, 3.4405]","[0.29982, 0.58245, 0.67784, 0.72584]"
1.593,13.9,8.706,16,"[1.2064, 1.2398, 1.3206, 1.401]","[0.85466, 0.91899, 0.94134, 0.95303]"
6.413,36.43,10.167,18,"[5.9722, 4.219, 4.0377, 4.2111]","[0.36662, 0.6204, 0.70532, 0.74792]"
12.198,29.89,11.122,10,"[3.1903, 2.6284, 2.4276, 2.4918]","[1.3017e-05, 0.2758, 0.43732, 0.51835]"
15.518,34.11,10.883,12,"[4.6761, 5.4017, 4.9534, 4.849]","[1.1132e-10, 0.073019, 0.27614, 0.37881]"
3.461,30.82,11.988,7,"[0.65941, 0.73811, 0.8374, 0.93277]","[0.67155, 0.8097, 0.85772, 0.88292]"
3.134,6.3,5.98,11,"[0.91479, 0.90253, 0.96459, 1.0347]","[0.70752, 0.83375, 0.87705, 0.89947]"
13.962,18.85,14.925,7,"[1.3639, 1.3543, 1.2957, 1.3569]","[2.9256e-08, 0.1772, 0.36301, 0.4564]"
11.935,16.17,7.535,15,"[5.5053, 4.799, 3.9369, 3.7083]","[3.1228e-05, 0.28914, 0.44891, 0.52946]"
8.839,11.39,6.702,13,"[3.7916, 2.2425, 2.0404, 2.0708]","[0.12858, 0.48255, 0.60186, 0.66189]"
14.539,10.45,5.869,13,"[4.4342, 4.5621, 3.6898, 3.4166]","[2.8349e-09, 0.1327, 0.32709, 0.42523]"
7.067,8.44,15.875,16,"[4.4135, 2.7014, 2.4907, 2.5425]","[0.30372, 0.58671, 0.682, 0.72994]"
6.803,33.95,7.487,5,"[0.49963, 0.51549, 0.57479, 0.63861]","[0.34803, 0.61912, 0.71197, 0.75995]"
11.201,25.44,8.922,6,"[0.91107, 0.77765, 0.80324, 0.86789]","[0.00097638, 0.35284, 0.50306, 0.57898]"
12.067,10.96,19.858,5,"[0.62862, 0.60157, 0.62916, 0.68296]","[4.8459e-05, 0.30618, 0.46849, 0.55077]"
11.978,25.28,6.286,18,"[6.4269, 7.3115, 6.4294, 6.0252]","[2.5287e-05, 0.28356, 0.44257, 0.52275]"
13.521,7.26,14.801,6,"[0.76302, 0.73291, 0.70799, 0.73827]","[2.6898e-07, 0.22305, 0.40705, 0.50002]"
12.192,30.93,14.63,7,"[1.7754, 1.6454, 1.6918, 1.8403]","[1.3023e-05, 0.27333, 0.433, 0.51328]"
13.776,29.51,10.498,11,"[3.8028, 3.6753, 3.2211, 3.1865]","[3.935e-08, 0.17909, 0.36171, 0.45335]"
17.299,39.57,6.762,13,"[5.0968, 6.2022, 6.2314, 6.0698]","[5.1287e-13, 0.006727, 0.19118, 0.30577]"
5.374,9.23,12.496,10,"[1.1069, 0.96031, 1.0068, 1.083]","[0.48478, 0.70106, 0.77416, 0.81137]"
4.01,35.15,18.806,6,"[1.008, 1.2804, 1.5832, 1.8846]","[0.59298, 0.75113, 0.80604, 0.83458]"
13.217,8.25,13.388,6,"[0.76405, 0.7177, 0.69715, 0.72849]","[7.9503e-07, 0.2418, 0.4217, 0.51263]"
18.405,28.68,11.557,19,"[6.64037, 8.09235, 10.311, 12.0326]","[2.19236e-14, 0.00059266, 0.135656, 0.256404]"
10.356,36.21,18.86,7,"[2.2286, 2.0246, 2.2154, 2.4892]","[0.0087433, 0.37385, 0.50821, 0.57597]"
2.804,10.68,10.144,18,"[1.9066, 1.7336, 1.8404, 1.9911]","[0.73215, 0.84467, 0.88271, 0.90208]"
8.189,38.11,17.158,16,"[6.7106, 6.0224, 5.9166, 6.2235]","[0.18915, 0.51042, 0.61745, 0.67103]"
13.432,31.76,13.916,11,"[4.2066, 4.1554, 3.8134, 3.8582]","[1.2601e-07, 0.19784, 0.37461, 0.46315]"
16.249,30.11,8.735,9,"[2.4579, 2.8597, 2.4884, 2.4513]","[1.3999e-11, 0.039583, 0.24815, 0.35647]"
6.275,15.08,10.647,16,"[3.744, 2.4076, 2.2951, 2.3806]","[0.3835, 0.63511, 0.71971, 0.76228]"
18.532,8.19,12.158,14,"[4.9863, 6.0836, 6.2625, 5.8394]","[1.7125e-14, 0.00048735, 0.13356, 0.25713]"
15.389,29.92,14.238,11,"[4.1987, 4.7655, 4.3519, 4.3188]","[1.6976e-10, 0.080746, 0.28235, 0.38391]"
10.961,31.59,6.405,14,"[5.2743, 4.1008, 3.5405, 3.4742]","[0.0012526, 0.34842, 0.49457, 0.56801]"
10.255,14.09,16.621,15,"[5.6481, 4.2389, 3.6459, 3.5703]","[0.012766, 0.39082, 0.52778, 0.59663]"
2.646,27.68,17.083,6,"[0.61559, 0.74688, 0.86777, 0.97486]","[0.74575, 0.85294, 0.89141, 0.9121]"
9.717,34.02,12.203,13,"[5.0757, 3.8022, 3.578, 3.6977]","[0.044315, 0.4218, 0.54991, 0.61412]"
8.189,8.11,9.559,6,"[0.60861, 0.52626, 0.54853, 0.58594]","[0.21835, 0.54955, 0.66202, 0.71961]"
10.738,8.52,16.673,10,"[2.5862, 1.6545, 1.5233, 1.5569]","[0.0034239, 0.3724, 0.51732, 0.59026]"
8.506,29.81,5.466,12,"[3.1943, 2.027, 1.9289, 2.0045]","[0.16256, 0.50236, 0.61643, 0.67379]"
1.46,10.67,17.947,11,"[0.71141, 0.72425, 0.75588, 0.80283]","[0.87362, 0.93334, 0.95406, 0.96458]"
1.161,11.2,19.025,9,"[0.51224, 0.52828, 0.59341, 0.68227]","[0.90671, 0.95323, 0.96826, 0.97547]"
7.039,25.46,19.013,15,"[5.1681, 3.9077, 3.8903, 4.1479]","[0.30446, 0.58143, 0.67386, 0.72022]"
17.063,18.74,18.322,18,"[6.54777, 8.02765, 10.0367, 10.9807]","[9.47149e-13, 0.00985551, 0.199329, 0.31166]"
19.489,31.25,8.022,6,"[1.043, 1.2989, 1.3882, 1.4091]","[2.0892e-15, 9.0315e-05, 0.10179, 0.23125]"
9.088,30.94,14.632,17,"[6.7158, 6.1605, 5.6865, 5.746]","[0.10026, 0.45774, 0.57756, 0.63761]"
7.387,37.31,12.582,17,"[6.477, 5.0058, 4.7853, 4.9802]","[0.26926, 0.56037, 0.65762, 0.70637]"
18.383,15.26,19.682,13,"[5.0558, 6.1669, 6.5267, 6.394]","[2.5105e-14, 0.00067533, 0.13983, 0.26152]"
2.039,6.19,5.962,15,"[1.2031, 1.2163, 1.3032, 1.3952]","[0.81125, 0.89334, 0.92163, 0.93633]"
1.158,14.2,10.382,16,"[1.103, 1.1369, 1.191, 1.2515]","[0.89766, 0.94481, 0.9613, 0.96987]"
3.217,32.63,6.319,8,"[0.63291, 0.66095, 0.71543, 0.76899]","[0.70265, 0.83229, 0.87736, 0.901]"
7.522,23.95,9.218,10,"[1.769, 1.3185, 1.3417, 1.4374]","[0.26518, 0.56598, 0.66693, 0.71784]"
6.434,9.1,5.388,13,"[2.3646, 1.648, 1.6286, 1.7158]","[0.37134, 0.63, 0.71694, 0.76078]"
9.415,16.1,13.668,7,"[1.0761, 0.83511, 0.86173, 0.92789]","[0.084398, 0.4606, 0.5874, 0.65155]"
16.101,25.17,5.124,18,"[6.405, 7.9328, 8.9378, 8.9057]","[1.6817e-11, 0.040755, 0.24562, 0.35234]"
7.5,33.93,10.99,16,"[5.6207, 3.9768, 3.7638, 3.9027]","[0.25876, 0.55541, 0.65468, 0.70448]"
10.666,32.67,9.512,18,"[6.5454, 7.2572, 6.5166, 6.3177]","[0.0033866, 0.36253, 0.50373, 0.57467]"
17.933,8.77,16.192,19,"[6.52707, 7.9609, 9.83801, 10.6906]","[8.03069e-14, 0.001705, 0.158265, 0.276431]"
4.464,6.81,5.912,10,"[0.95898, 0.88864, 0.94327, 1.0162]","[0.57643, 0.75607, 0.81711, 0.84838]"
5.783,32.07,15.975,6,"[0.90214, 1.0161, 1.2006, 1.3946]","[0.42714, 0.65352, 0.73075, 0.77033]"
5.591,24.81,9.235,17,"[3.8682, 2.6354, 2.5737, 2.7048]","[0.45096, 0.67437, 0.74934, 0.78704]"
16.762,19.47,14.17,10,"[3.0233, 3.6132, 3.1357, 3.0147]","[2.8603e-12, 0.019238, 0.2223, 0.33417]"
4.312,25.0,19.919,10,"[1.5765, 1.6625, 1.9167, 2.1981]","[0.57588, 0.74462, 0.80165, 0.83063]"
13.423,19.85,19.224,5,"[0.87394, 0.94186, 1.0054, 1.1136]","[1.4458e-07, 0.20168, 0.37817, 0.46728]"
8.817,8.43,9.156,11,"[2.5586, 1.5867, 1.5063, 1.5596]","[0.13405, 0.48833, 0.60753, 0.66757]"
5.908,16.36,8.175,7,"[0.62855, 0.58459, 0.61796, 0.66194]","[0.44202, 0.68056, 0.76197, 0.80389]"
8.099,27.95,13.217,6,"[0.87884, 0.84034, 0.9355, 1.0514]","[0.20805, 0.52722, 0.63493, 0.68964]"
13.174,14.07,17.014,16,"[6.0233, 6.713, 5.9678, 5.6394]","[2.9874e-07, 0.21187, 0.38652, 0.47447]"
13.754,15.41,14.295,15,"[5.6415, 6.1272, 5.3181, 4.9907]","[3.8546e-08, 0.17752, 0.36014, 0.45216]"
16.038,18.87,13.654,11,"[3.5896, 4.137, 3.5114, 3.3465]","[2.4235e-11, 0.047528, 0.25568, 0.36288]"
13.559,22.09,17.025,5,"[0.84406, 0.91153, 0.96751, 1.0681]","[9.605e-08, 0.1955, 0.37407, 0.46421]"
10.492,26.62,7.52,11,"[3.4048, 2.1959, 2.0147, 2.0586]","[0.0069825, 0.3822, 0.52268, 0.59328]"
8.098,31.45,19.875,6,"[1.3562, 1.4054, 1.632, 1.8884]","[0.19229, 0.50609, 0.61224, 0.66618]"
13.155,27.84,19.009,11,"[4.4741, 4.4955, 4.2547, 4.371]","[3.3146e-07, 0.2133, 0.38567, 0.47194]"
14.195,32.11,8.804,19,"[6.6289, 8.7113, 9.6966, 9.789]","[7.9543e-09, 0.1486, 0.33517, 0.42908]"
10.157,13.39,9.806,12,"[3.7672, 2.2536, 2.0067, 2.016]","[0.018034, 0.40339, 0.54041, 0.60935]"
0.111,9.54,16.607,8,"[1.203, 2.241, 3.2776, 4.3134]","[0.9931, 0.99637, 0.99745, 0.99799]"
13.066,5.62,17.313,18,"[6.3718, 7.5544, 6.7977, 6.2917]","[4.348e-07, 0.21771, 0.391, 0.47853]"
13.502,30.27,10.261,10,"[3.1617, 2.9335, 2.6247, 2.644]","[1.0838e-07, 0.19699, 0.37597, 0.46575]"
1.461,28.84,7.447,9,"[0.55141, 0.56054, 0.59778, 0.65716]","[0.87703, 0.93673, 0.95693, 0.96686]"
5.682,26.48,10.119,18,"[4.6471, 3.1255, 3.0179, 3.1574]","[0.44079, 0.66725, 0.74321, 0.78138]"
14.251,10.44,9.674,10,"[2.5348, 2.372, 1.9706, 1.9105]","[9.3876e-09, 0.15691, 0.34907, 0.44586]"
10.848,7.61,8.617,13,"[4.4498, 2.9364, 2.5016, 2.4516]","[0.0019788, 0.35904, 0.50518, 0.57874]"
0.456,23.78,7.559,5,"[0.35156, 0.60461, 0.86037, 1.1163]","[0.97091, 0.98481, 0.98936, 0.99162]"
1.881,25.23,14.138,15,"[1.3417, 1.4324, 1.587, 1.7417]","[0.82357, 0.89868, 0.92454, 0.93799]"
2.192,20.02,18.651,7,"[0.57062, 0.64095, 0.70604, 0.76778]","[0.79931, 0.8887, 0.92067, 0.93759]"
16.388,10.68,6.512,15,"[5.4622, 6.5857, 6.1675, 5.6935]","[7.4097e-12, 0.029535, 0.23491, 0.34453]"
10.985,5.96,5.983,8,"[1.4876, 1.0511, 1.0101, 1.0515]","[0.0018546, 0.36594, 0.51489, 0.59002]"
11.048,8.47,9.411,10,"[2.5484, 1.6651, 1.5137, 1.5371]","[0.0011566, 0.35412, 0.50351, 0.5787]"
12.063,21.15,19.597,8,"[2.2668, 1.9924, 1.9878, 2.1285]","[2.1557e-05, 0.28197, 0.44026, 0.51973]"
14.515,28.53,19.903,13,"[5.5904, 6.5773, 6.5675, 6.6837]","[2.7828e-09, 0.13053, 0.32082, 0.41611]"
19.256,12.73,11.37,19,"[6.52228, 7.94465, 9.75925, 11.1067]","[2.31735e-15, 8.40576e-05, 0.0961522, 0.222209]"
15.025,32.66,6.427,11,"[3.623, 3.8581, 3.2753, 3.1625]","[5.9457e-10, 0.10438, 0.30382, 0.4042]"
13.264,22.17,7.483,19,"[6.5605, 8.3686, 8.1954, 7.7814]","[2.1009e-07, 0.20509, 0.38028, 0.46867]"
6.577,38.71,14.468,9,"[1.9828, 1.8732, 2.0956, 2.3747]","[0.34992, 0.60631, 0.69242, 0.73592]"
10.933,5.24,13.934,9,"[1.976, 1.3209, 1.2377, 1.2744]","[0.0019432, 0.36475, 0.51277, 0.58733]"
13.56,32.36,9.448,14,"[5.4817, 5.8767, 5.254, 5.0807]","[7.6696e-08, 0.18921, 0.36861, 0.45872]"
0.39,5.42,15.769,9,"[0.52204, 0.80236, 1.1024, 1.4054]","[0.97412, 0.98668, 0.99071, 0.9927]"
1.272,7.07,15.636,8,"[0.44409, 0.46069, 0.5233, 0.60615]","[0.89863, 0.94934, 0.96559, 0.97338]"
18.16,14.37,7.773,9,"[1.9789, 2.4323, 2.1911, 2.0521]","[6.9237e-14, 0.0016168, 0.16349, 0.28651]"
8.374,18.31,6.617,15,"[4.7915, 2.8926, 2.5799, 2.5906]","[0.17313, 0.50768, 0.6205, 0.67726]"
18.186,18.4,7.631,13,"[4.5374, 5.5366, 5.4133, 4.9999]","[4.5057e-14, 0.0010933, 0.15108, 0.27262]"
18.645,12.15,12.865,15,"[5.5361, 6.7507, 7.3673, 7.1651]","[1.2207e-14, 0.00036374, 0.12686, 0.25056]"
2.96,10.41,11.703,13,"[1.1516, 1.1181, 1.1969, 1.2903]","[0.72165, 0.84065, 0.88126, 0.90217]"
